model,scenario,metric,mean,std,minimum,maximum
lstm,A,best_epoch,12.0,9.41629792788369,1.0,24.0
lstm,A,stopping_epoch,27.0,9.41629792788369,16.0,39.0
lstm,A,best_validation_macro_f1,0.4044495663626978,0.016891067021185074,0.38993628349480663,0.42694260802912715
lstm,A,training_seconds,4.328741375000391,1.568271111218439,2.997760800000833,6.599656700000196
lstm,B,best_epoch,11.5,4.041451884327381,8.0,17.0
lstm,B,stopping_epoch,26.5,4.041451884327381,23.0,32.0
lstm,B,best_validation_macro_f1,0.40044323123218106,0.050745353600033724,0.33815165744779224,0.46230365557907716
lstm,B,training_seconds,3.85959874999935,0.8128252885533167,3.1360491999948863,4.96416290000343
lstm,C,best_epoch,8.75,3.8622100754188224,5.0,13.0
lstm,C,stopping_epoch,23.75,3.8622100754188224,20.0,28.0
lstm,C,best_validation_macro_f1,0.39058249922781624,0.01805547536087159,0.36804687541731435,0.4074660972357264
lstm,C,training_seconds,3.9644820249977784,0.6081892044995907,3.14050309999584,4.546950799995102
lstm,D,best_epoch,12.25,4.645786621588784,6.0,17.0
lstm,D,stopping_epoch,27.25,4.645786621588784,21.0,32.0
lstm,D,best_validation_macro_f1,0.4006237796228053,0.014378618382393548,0.38663757594480486,0.42028737123195414
lstm,D,training_seconds,4.609558874999493,0.9818856518321625,3.150101499995799,5.257176399994933
tcn,A,best_epoch,6.0,1.8257418583505538,4.0,8.0
tcn,A,stopping_epoch,21.0,1.8257418583505538,19.0,23.0
tcn,A,best_validation_macro_f1,0.41246276388059033,0.02114868327982445,0.38791986407513207,0.43120758315104607
tcn,A,training_seconds,352.6506492999997,37.57664971417233,305.0764182999992,383.3797777
tcn,B,best_epoch,4.25,0.5,4.0,5.0
tcn,B,stopping_epoch,19.25,0.5,19.0,20.0
tcn,B,best_validation_macro_f1,0.4029167871698471,0.016781197715560837,0.38381767490112173,0.41761614901703537
tcn,B,training_seconds,310.25046884999756,23.504096519917923,284.21722659999796,339.59701619999396
tcn,C,best_epoch,8.25,5.737304826019502,3.0,15.0
tcn,C,stopping_epoch,23.25,5.737304826019502,18.0,30.0
tcn,C,best_validation_macro_f1,0.40346445445835066,0.015559095828706232,0.3841724676497678,0.4166219503790627
tcn,C,training_seconds,379.03093012499994,84.11336589526579,295.321285500002,492.6108324000015
tcn,D,best_epoch,3.5,2.3804761428476167,2.0,7.0
tcn,D,stopping_epoch,18.5,2.3804761428476167,17.0,22.0
tcn,D,best_validation_macro_f1,0.4112622722691366,0.02102341407908997,0.39095398886107385,0.4317000365959586
tcn,D,training_seconds,357.5442338249977,40.50712238236598,317.13180219999776,413.76752439999836
transformer,A,best_epoch,6.5,5.744562646538029,3.0,15.0
transformer,A,stopping_epoch,21.5,5.744562646538029,18.0,30.0
transformer,A,best_validation_macro_f1,0.4080688231873264,0.01359118835778983,0.39020915706836284,0.42321963962359366
transformer,A,training_seconds,6.803042650000862,0.9018051037369684,6.004303699999582,8.022920000003069
transformer,B,best_epoch,10.25,7.88986691902975,3.0,21.0
transformer,B,stopping_epoch,25.25,7.88986691902975,18.0,36.0
transformer,B,best_validation_macro_f1,0.3877888834643401,0.022210972069091894,0.36037836164034615,0.41470533295974593
transformer,B,training_seconds,8.552201100003003,2.923408829999745,6.0448199000020395,12.699257600004785
transformer,C,best_epoch,8.25,5.377421934967226,3.0,15.0
transformer,C,stopping_epoch,23.25,5.377421934967226,18.0,30.0
transformer,C,best_validation_macro_f1,0.3922781335138759,0.026939163045085455,0.3587981979460155,0.4232512985568683
transformer,C,training_seconds,7.558429050000996,1.814228346400308,5.8143874000015785,9.686435399999027
transformer,D,best_epoch,5.25,4.349329450233296,1.0,11.0
transformer,D,stopping_epoch,20.25,4.349329450233296,16.0,26.0
transformer,D,best_validation_macro_f1,0.4139099529378248,0.025772465261387944,0.3932938673857966,0.45160948146547025
transformer,D,training_seconds,7.999410549999084,1.2751902821684111,6.918999099994835,9.48191670000233
