run_id,model,scenario,fold,balancing,train_alert,train_fatigue,train_distraction,class_weights,sampling,augmentation_record_count
G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,transformer,B,1,class_weights,2805,14,362,"[0.3780154486036839,75.73809523809524,2.929097605893186]",null,0
G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,transformer,B,2,class_weights,2259,65,538,"[0.42231075697211157,14.676923076923076,1.7732342007434945]",null,0
G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,transformer,B,3,class_weights,2568,51,642,"[0.4232866043613707,21.313725490196077,1.6931464174454829]",null,0
G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,transformer,B,4,class_weights,2946,65,672,"[0.41672324055216114,18.887179487179488,1.8268849206349207]",null,0
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,lstm,B,1,class_weights,2832,14,381,"[0.3798258003766478,76.83333333333333,2.8232720909886266]",null,0
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,lstm,B,2,class_weights,2282,68,553,"[0.4240432369266725,14.230392156862745,1.749849306811332]",null,0
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,lstm,B,3,class_weights,2589,54,658,"[0.4250032187459766,20.376543209876544,1.672239108409321]",null,0
G4__g4_b_class_weights_w60__lstm__r0__w60__fold_4__seed_42,lstm,B,4,class_weights,2965,68,688,"[0.4183249016301293,18.24019607843137,1.8028100775193798]",null,0
G4__g4_b_class_weights_w60__svm__r0__w60__fold_1__seed_42,svm,B,1,class_weights,2832,14,381,null,null,0
G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,svm,B,2,class_weights,2282,68,553,null,null,0
G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,svm,B,3,class_weights,2589,54,658,null,null,0
G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,svm,B,4,class_weights,2965,68,688,null,null,0
G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,tcn,B,1,class_weights,2832,14,381,"[0.3798258003766478,76.83333333333333,2.8232720909886266]",null,0
G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,tcn,B,2,class_weights,2282,68,553,"[0.4240432369266725,14.230392156862745,1.749849306811332]",null,0
G4__g4_b_class_weights_w60__tcn__r0__w60__fold_3__seed_42,tcn,B,3,class_weights,2589,54,658,"[0.4250032187459766,20.376543209876544,1.672239108409321]",null,0
G4__g4_b_class_weights_w60__tcn__r0__w60__fold_4__seed_42,tcn,B,4,class_weights,2965,68,688,"[0.4183249016301293,18.24019607843137,1.8028100775193798]",null,0
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,transformer,C,1,weighted_sampling,2805,14,362,null,"{""num_samples_per_epoch"":3181,""replacement"":true,""sample_weight_max"":75.73809523809524,""sample_weight_min"":0.3780154486036839,""seed"":42}",0
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,transformer,C,2,weighted_sampling,2259,65,538,null,"{""num_samples_per_epoch"":2862,""replacement"":true,""sample_weight_max"":14.676923076923076,""sample_weight_min"":0.42231075697211157,""seed"":42}",0
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,transformer,C,3,weighted_sampling,2568,51,642,null,"{""num_samples_per_epoch"":3261,""replacement"":true,""sample_weight_max"":21.313725490196077,""sample_weight_min"":0.4232866043613707,""seed"":42}",0
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_4__seed_42,transformer,C,4,weighted_sampling,2946,65,672,null,"{""num_samples_per_epoch"":3683,""replacement"":true,""sample_weight_max"":18.887179487179488,""sample_weight_min"":0.41672324055216114,""seed"":42}",0
G4__g4_c_weighted_sampling_w60__lstm__r0__w60__fold_1__seed_42,lstm,C,1,weighted_sampling,2832,14,381,null,"{""num_samples_per_epoch"":3227,""replacement"":true,""sample_weight_max"":76.83333333333333,""sample_weight_min"":0.3798258003766478,""seed"":42}",0
G4__g4_c_weighted_sampling_w60__lstm__r0__w60__fold_2__seed_42,lstm,C,2,weighted_sampling,2282,68,553,null,"{""num_samples_per_epoch"":2903,""replacement"":true,""sample_weight_max"":14.230392156862745,""sample_weight_min"":0.4240432369266725,""seed"":42}",0
G4__g4_c_weighted_sampling_w60__lstm__r0__w60__fold_3__seed_42,lstm,C,3,weighted_sampling,2589,54,658,null,"{""num_samples_per_epoch"":3301,""replacement"":true,""sample_weight_max"":20.376543209876544,""sample_weight_min"":0.4250032187459766,""seed"":42}",0
G4__g4_c_weighted_sampling_w60__lstm__r0__w60__fold_4__seed_42,lstm,C,4,weighted_sampling,2965,68,688,null,"{""num_samples_per_epoch"":3721,""replacement"":true,""sample_weight_max"":18.24019607843137,""sample_weight_min"":0.4183249016301293,""seed"":42}",0
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,svm,C,1,weighted_sampling,2832,14,381,null,"{""replacement"":true,""num_samples"":3227,""seed"":42,""indices_sha256"":""c843534b91208817692d553e1636799c3306afbcc7e991288eb037e373f4f684"",""materialized_counts"":{""alert"":1067,""distraction"":1054,""fatigue"":1106}}",0
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,svm,C,2,weighted_sampling,2282,68,553,null,"{""replacement"":true,""num_samples"":2903,""seed"":42,""indices_sha256"":""14edd6570e9b9969e9d8a46b16cf3166bac1a86eff02caa62c314439f1aa3b4d"",""materialized_counts"":{""fatigue"":975,""distraction"":953,""alert"":975}}",0
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,svm,C,3,weighted_sampling,2589,54,658,null,"{""replacement"":true,""num_samples"":3301,""seed"":42,""indices_sha256"":""c79c7a25e765db0838f6a66218cd525914e4a11071a5187e46d97b5a57711547"",""materialized_counts"":{""fatigue"":1125,""distraction"":1042,""alert"":1134}}",0
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,svm,C,4,weighted_sampling,2965,68,688,null,"{""replacement"":true,""num_samples"":3721,""seed"":42,""indices_sha256"":""952a839c695b2a038154c2b955a556e7b945cc53b0d84821028a93026eeaf97a"",""materialized_counts"":{""fatigue"":1272,""alert"":1224,""distraction"":1225}}",0
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_1__seed_42,tcn,C,1,weighted_sampling,2832,14,381,null,"{""num_samples_per_epoch"":3227,""replacement"":true,""sample_weight_max"":76.83333333333333,""sample_weight_min"":0.3798258003766478,""seed"":42}",0
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_2__seed_42,tcn,C,2,weighted_sampling,2282,68,553,null,"{""num_samples_per_epoch"":2903,""replacement"":true,""sample_weight_max"":14.230392156862745,""sample_weight_min"":0.4240432369266725,""seed"":42}",0
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_3__seed_42,tcn,C,3,weighted_sampling,2589,54,658,null,"{""num_samples_per_epoch"":3301,""replacement"":true,""sample_weight_max"":20.376543209876544,""sample_weight_min"":0.4250032187459766,""seed"":42}",0
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_4__seed_42,tcn,C,4,weighted_sampling,2965,68,688,null,"{""num_samples_per_epoch"":3721,""replacement"":true,""sample_weight_max"":18.24019607843137,""sample_weight_min"":0.4183249016301293,""seed"":42}",0
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_1__seed_42,transformer,D,1,augmentation,2805,28,724,null,null,376
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,transformer,D,2,augmentation,2259,130,1076,null,null,603
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,transformer,D,3,augmentation,2568,102,1284,null,null,693
G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,transformer,D,4,augmentation,2946,130,1344,null,null,737
G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,lstm,D,1,augmentation,2832,28,762,null,null,395
G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,lstm,D,2,augmentation,2282,136,1106,null,null,621
G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,lstm,D,3,augmentation,2589,108,1316,null,null,712
G4__g4_d_augmentation_w60__lstm__r0__w60__fold_4__seed_42,lstm,D,4,augmentation,2965,136,1376,null,null,756
G4__g4_d_augmentation_w60__svm__r0__w60__fold_1__seed_42,svm,D,1,augmentation,2832,28,762,null,null,395
G4__g4_d_augmentation_w60__svm__r0__w60__fold_2__seed_42,svm,D,2,augmentation,2282,136,1106,null,null,621
G4__g4_d_augmentation_w60__svm__r0__w60__fold_3__seed_42,svm,D,3,augmentation,2589,108,1316,null,null,712
G4__g4_d_augmentation_w60__svm__r0__w60__fold_4__seed_42,svm,D,4,augmentation,2965,136,1376,null,null,756
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,tcn,D,1,augmentation,2832,28,762,null,null,395
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,tcn,D,2,augmentation,2282,136,1106,null,null,621
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,tcn,D,3,augmentation,2589,108,1316,null,null,712
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_4__seed_42,tcn,D,4,augmentation,2965,136,1376,null,null,756
