model,subset,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
tcn,test,accuracy,1,0.328125,0.0,0.328125,0.328125,0.328125,nan,nan
tcn,test,balanced_accuracy,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,nan,nan
tcn,test,macro_f1_all_classes,1,0.16470588235294117,0.0,0.16470588235294117,0.16470588235294117,0.16470588235294117,nan,nan
tcn,test,best_epoch,1,1.0,0.0,1.0,1.0,1.0,nan,nan
tcn,test,stopping_epoch,1,2.0,0.0,2.0,2.0,2.0,nan,nan
tcn,test,best_validation_macro_f1,1,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,nan,nan
tcn,test,training_seconds,1,1.4942329000041354,0.0,1.4942329000041354,1.4942329000041354,1.4942329000041354,nan,nan
tcn,validation,accuracy,1,0.375,0.0,0.375,0.375,0.375,nan,nan
tcn,validation,balanced_accuracy,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,nan,nan
tcn,validation,macro_f1_all_classes,1,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,nan,nan
tcn,validation,best_epoch,1,1.0,0.0,1.0,1.0,1.0,nan,nan
tcn,validation,stopping_epoch,1,2.0,0.0,2.0,2.0,2.0,nan,nan
tcn,validation,best_validation_macro_f1,1,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,nan,nan
tcn,validation,training_seconds,1,1.4942329000041354,0.0,1.4942329000041354,1.4942329000041354,1.4942329000041354,nan,nan
