model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
tcn,temporal_r0,1,validation,alert,alert,0,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,validation,alert,fatigue,0,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,validation,alert,distraction,36,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,validation,fatigue,alert,0,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,validation,fatigue,fatigue,0,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,validation,fatigue,distraction,4,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,validation,distraction,alert,0,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,validation,distraction,fatigue,0,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,validation,distraction,distraction,24,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,test,alert,alert,0,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,test,alert,fatigue,0,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,test,alert,distraction,22,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,test,fatigue,alert,0,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,test,fatigue,fatigue,0,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,test,fatigue,distraction,21,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,test,distraction,alert,0,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,test,distraction,fatigue,0,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
tcn,temporal_r0,1,test,distraction,distraction,21,G4SMOKE__g4_smoke_d__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_d,R0,60,42
