ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,alert,focal_r0_w60,845,1,G45,lstm,alert,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,22,1,G45,lstm,fatigue,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,147,1,G45,lstm,distraction,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,2,1,G45,lstm,alert,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,2,1,G45,lstm,fatigue,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,0,1,G45,lstm,distraction,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,89,1,G45,lstm,alert,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,5,1,G45,lstm,fatigue,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,68,1,G45,lstm,distraction,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,733,1,G45,tcn,alert,R0,G45__focal_r0_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,109,1,G45,tcn,fatigue,R0,G45__focal_r0_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,172,1,G45,tcn,distraction,R0,G45__focal_r0_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,1,1,G45,tcn,alert,R0,G45__focal_r0_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,3,1,G45,tcn,fatigue,R0,G45__focal_r0_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,0,1,G45,tcn,distraction,R0,G45__focal_r0_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,73,1,G45,tcn,alert,R0,G45__focal_r0_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,7,1,G45,tcn,fatigue,R0,G45__focal_r0_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,82,1,G45,tcn,distraction,R0,G45__focal_r0_w60__tcn__r0__w60__fold_1__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,822,2,G45,lstm,alert,R0,G45__focal_r0_w60__lstm__r0__w60__fold_2__seed_42,42,validation,60
