model,subset,fold,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
lstm,validation,1,macro_f1_all_classes,1,0.4495404978163599,0.0,0.4495404978163599,0.4495404978163599,0.4495404978163599,nan,nan
lstm,validation,1,best_epoch,1,7.0,0.0,7.0,7.0,7.0,nan,nan
lstm,validation,1,stopping_epoch,1,22.0,0.0,22.0,22.0,22.0,nan,nan
lstm,validation,1,best_validation_macro_f1,1,0.4495404978163599,0.0,0.4495404978163599,0.4495404978163599,0.4495404978163599,nan,nan
lstm,validation,2,macro_f1_all_classes,1,0.35993623681214526,0.0,0.35993623681214526,0.35993623681214526,0.35993623681214526,nan,nan
lstm,validation,2,best_epoch,1,6.0,0.0,6.0,6.0,6.0,nan,nan
lstm,validation,2,stopping_epoch,1,21.0,0.0,21.0,21.0,21.0,nan,nan
lstm,validation,2,best_validation_macro_f1,1,0.35993623681214526,0.0,0.35993623681214526,0.35993623681214526,0.35993623681214526,nan,nan
lstm,validation,3,macro_f1_all_classes,1,0.40299934643321267,0.0,0.40299934643321267,0.40299934643321267,0.40299934643321267,nan,nan
lstm,validation,3,best_epoch,1,9.0,0.0,9.0,9.0,9.0,nan,nan
lstm,validation,3,stopping_epoch,1,24.0,0.0,24.0,24.0,24.0,nan,nan
lstm,validation,3,best_validation_macro_f1,1,0.40299934643321267,0.0,0.40299934643321267,0.40299934643321267,0.40299934643321267,nan,nan
lstm,validation,4,macro_f1_all_classes,1,0.404943822101381,0.0,0.404943822101381,0.404943822101381,0.404943822101381,nan,nan
lstm,validation,4,best_epoch,1,13.0,0.0,13.0,13.0,13.0,nan,nan
lstm,validation,4,stopping_epoch,1,28.0,0.0,28.0,28.0,28.0,nan,nan
lstm,validation,4,best_validation_macro_f1,1,0.404943822101381,0.0,0.404943822101381,0.404943822101381,0.404943822101381,nan,nan
tcn,validation,1,macro_f1_all_classes,1,0.4160211420578279,0.0,0.4160211420578279,0.4160211420578279,0.4160211420578279,nan,nan
tcn,validation,1,best_epoch,1,2.0,0.0,2.0,2.0,2.0,nan,nan
tcn,validation,1,stopping_epoch,1,17.0,0.0,17.0,17.0,17.0,nan,nan
tcn,validation,1,best_validation_macro_f1,1,0.4160211420578279,0.0,0.4160211420578279,0.4160211420578279,0.4160211420578279,nan,nan
tcn,validation,2,macro_f1_all_classes,1,0.389973607556267,0.0,0.389973607556267,0.389973607556267,0.389973607556267,nan,nan
tcn,validation,2,best_epoch,1,10.0,0.0,10.0,10.0,10.0,nan,nan
tcn,validation,2,stopping_epoch,1,25.0,0.0,25.0,25.0,25.0,nan,nan
tcn,validation,2,best_validation_macro_f1,1,0.389973607556267,0.0,0.389973607556267,0.389973607556267,0.389973607556267,nan,nan
tcn,validation,3,macro_f1_all_classes,1,0.3920405423673397,0.0,0.3920405423673397,0.3920405423673397,0.3920405423673397,nan,nan
tcn,validation,3,best_epoch,1,3.0,0.0,3.0,3.0,3.0,nan,nan
tcn,validation,3,stopping_epoch,1,18.0,0.0,18.0,18.0,18.0,nan,nan
tcn,validation,3,best_validation_macro_f1,1,0.3920405423673397,0.0,0.3920405423673397,0.3920405423673397,0.3920405423673397,nan,nan
tcn,validation,4,macro_f1_all_classes,1,0.4160710670460201,0.0,0.4160710670460201,0.4160710670460201,0.4160710670460201,nan,nan
tcn,validation,4,best_epoch,1,8.0,0.0,8.0,8.0,8.0,nan,nan
tcn,validation,4,stopping_epoch,1,23.0,0.0,23.0,23.0,23.0,nan,nan
tcn,validation,4,best_validation_macro_f1,1,0.4160710670460201,0.0,0.4160710670460201,0.4160710670460201,0.4160710670460201,nan,nan
