configuration_id,epoch,fold,generation,learning_rate,model,representation,run_id,seed,training_accuracy,training_loss,training_macro_f1,validation_accuracy,validation_loss,validation_macro_f1,window_size_frames
focal_r0_w60,1,1,G45,0.001,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.14409668422683608,0.4810226368006442,0.09182440679610053,0.2923728813559322,0.4715419527837786,0.19323910612476855,60
focal_r0_w60,2,1,G45,0.001,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.5401301518438177,0.46273041574955726,0.3179443667476597,0.7415254237288136,0.46136194316007323,0.3929679588447361,60
focal_r0_w60,3,1,G45,0.001,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.7991942981096994,0.45048993094476486,0.44460087939732995,0.7652542372881356,0.4536766569493181,0.40451861972253883,60
focal_r0_w60,4,1,G45,0.001,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.834521227145956,0.4319449844266521,0.48171486655644186,0.7694915254237288,0.45225607520442895,0.4351272347644526,60
focal_r0_w60,5,1,G45,0.001,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.841648590021692,0.4204368516225581,0.48632052437125867,0.7754237288135594,0.4565881894806684,0.44250180811924156,60
focal_r0_w60,6,1,G45,0.001,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.8469166408428881,0.4179831157075683,0.5058993444807675,0.7796610169491526,0.4570218457003771,0.44393131819340087,60
focal_r0_w60,7,1,G45,0.001,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.8472265261853115,0.4124232533549169,0.5015581782358915,0.7754237288135594,0.4500551598556971,0.4495404978163599,60
focal_r0_w60,8,1,G45,0.001,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.8444375581035017,0.39491696359758816,0.5023649303584828,0.7703389830508475,0.4427891110969802,0.4374030541682525,60
focal_r0_w60,9,1,G45,0.001,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.8373101952277657,0.39505852336369324,0.4929263040289103,0.7228813559322034,0.4328575386839398,0.4163460103115275,60
focal_r0_w60,10,1,G45,0.001,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.8156182212581344,0.39122140539627087,0.4882235260412649,0.6694915254237288,0.4267640850301516,0.3963268817232541,60
focal_r0_w60,11,1,G45,0.001,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.7790517508521847,0.3795696813549684,0.47716783059559265,0.6016949152542372,0.4234802618875342,0.3758829691048426,60
focal_r0_w60,12,1,G45,0.0005,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.7080880074372482,0.37203610021889966,0.4604407760714508,0.5559322033898305,0.4264268545781152,0.3624532281029878,60
focal_r0_w60,13,1,G45,0.0005,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.638363805392005,0.37686278178553706,0.44124006517122893,0.5152542372881356,0.4301649879601042,0.3481909916560135,60
focal_r0_w60,14,1,G45,0.0005,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.6268980477223427,0.3622024215741685,0.4376915655350155,0.5661016949152542,0.4197040814464375,0.36624804202880473,60
focal_r0_w60,15,1,G45,0.0005,lstm,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,0.7006507592190889,0.3512940610345392,0.45936758296699565,0.6127118644067797,0.39984532907857734,0.3798764976346692,60
