ablation,configuration_id,f1,fold,generation,label,model,precision,recall,representation,run_id,seed,subset,support,window_size_frames
temporal_r0,focal_r0_w60,0.8666666666666667,1,G45,alert,lstm,0.9027777777777778,0.8333333333333334,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,validation,1014,60
temporal_r0,focal_r0_w60,0.12121212121212122,1,G45,fatigue,lstm,0.06896551724137931,0.5,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,validation,4,60
temporal_r0,focal_r0_w60,0.36074270557029176,1,G45,distraction,lstm,0.31627906976744186,0.41975308641975306,R0,G45__focal_r0_w60__lstm__r0__w60__fold_1__seed_42,42,validation,162,60
temporal_r0,focal_r0_w60,0.8050521691378364,1,G45,alert,tcn,0.9083023543990086,0.722879684418146,R0,G45__focal_r0_w60__tcn__r0__w60__fold_1__seed_42,42,validation,1014,60
temporal_r0,focal_r0_w60,0.04878048780487805,1,G45,fatigue,tcn,0.025210084033613446,0.75,R0,G45__focal_r0_w60__tcn__r0__w60__fold_1__seed_42,42,validation,4,60
temporal_r0,focal_r0_w60,0.3942307692307692,1,G45,distraction,tcn,0.3228346456692913,0.5061728395061729,R0,G45__focal_r0_w60__tcn__r0__w60__fold_1__seed_42,42,validation,162,60
temporal_r0,focal_r0_w60,0.8413510747185261,2,G45,alert,lstm,0.9405034324942791,0.7611111111111111,R0,G45__focal_r0_w60__lstm__r0__w60__fold_2__seed_42,42,validation,1080,60
temporal_r0,focal_r0_w60,0.07407407407407407,2,G45,fatigue,lstm,0.1,0.058823529411764705,R0,G45__focal_r0_w60__lstm__r0__w60__fold_2__seed_42,42,validation,17,60
temporal_r0,focal_r0_w60,0.1643835616438356,2,G45,distraction,lstm,0.10380622837370242,0.39473684210526316,R0,G45__focal_r0_w60__lstm__r0__w60__fold_2__seed_42,42,validation,76,60
temporal_r0,focal_r0_w60,0.8574327752409944,2,G45,alert,tcn,0.9483726150392817,0.7824074074074074,R0,G45__focal_r0_w60__tcn__r0__w60__fold_2__seed_42,42,validation,1080,60
temporal_r0,focal_r0_w60,0.06349206349206349,2,G45,fatigue,tcn,0.03669724770642202,0.23529411764705882,R0,G45__focal_r0_w60__tcn__r0__w60__fold_2__seed_42,42,validation,17,60
temporal_r0,focal_r0_w60,0.24899598393574296,2,G45,distraction,tcn,0.1791907514450867,0.40789473684210525,R0,G45__focal_r0_w60__tcn__r0__w60__fold_2__seed_42,42,validation,76,60
temporal_r0,focal_r0_w60,0.7867191896454699,3,G45,alert,lstm,0.8836915297092288,0.7089249492900609,R0,G45__focal_r0_w60__lstm__r0__w60__fold_3__seed_42,42,validation,986,60
temporal_r0,focal_r0_w60,0.11382113821138211,3,G45,fatigue,lstm,0.06363636363636363,0.5384615384615384,R0,G45__focal_r0_w60__lstm__r0__w60__fold_3__seed_42,42,validation,13,60
temporal_r0,focal_r0_w60,0.30845771144278605,3,G45,distraction,lstm,0.248,0.40789473684210525,R0,G45__focal_r0_w60__lstm__r0__w60__fold_3__seed_42,42,validation,152,60
temporal_r0,focal_r0_w60,0.792368125701459,3,G45,alert,tcn,0.8869346733668342,0.716024340770791,R0,G45__focal_r0_w60__tcn__r0__w60__fold_3__seed_42,42,validation,986,60
temporal_r0,focal_r0_w60,0.03571428571428571,3,G45,fatigue,tcn,0.020202020202020204,0.15384615384615385,R0,G45__focal_r0_w60__tcn__r0__w60__fold_3__seed_42,42,validation,13,60
temporal_r0,focal_r0_w60,0.3480392156862745,3,G45,distraction,tcn,0.27734375,0.46710526315789475,R0,G45__focal_r0_w60__tcn__r0__w60__fold_3__seed_42,42,validation,152,60
temporal_r0,focal_r0_w60,0.8104502501389661,4,G45,alert,lstm,0.9263024142312579,0.7203557312252964,R0,G45__focal_r0_w60__lstm__r0__w60__fold_4__seed_42,42,validation,1012,60
temporal_r0,focal_r0_w60,0.10650887573964497,4,G45,fatigue,lstm,0.05921052631578947,0.5294117647058824,R0,G45__focal_r0_w60__lstm__r0__w60__fold_4__seed_42,42,validation,17,60
temporal_r0,focal_r0_w60,0.2978723404255319,4,G45,distraction,lstm,0.22580645161290322,0.4375,R0,G45__focal_r0_w60__lstm__r0__w60__fold_4__seed_42,42,validation,96,60
temporal_r0,focal_r0_w60,0.8500539374325782,4,G45,alert,tcn,0.9358669833729216,0.7786561264822134,R0,G45__focal_r0_w60__tcn__r0__w60__fold_4__seed_42,42,validation,1012,60
temporal_r0,focal_r0_w60,0.0784313725490196,4,G45,fatigue,tcn,0.047058823529411764,0.23529411764705882,R0,G45__focal_r0_w60__tcn__r0__w60__fold_4__seed_42,42,validation,17,60
temporal_r0,focal_r0_w60,0.3197278911564626,4,G45,distraction,tcn,0.23737373737373738,0.4895833333333333,R0,G45__focal_r0_w60__tcn__r0__w60__fold_4__seed_42,42,validation,96,60
