model,subset,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
lstm,validation,accuracy,1,0.7157995403042814,0.0,0.7157995403042814,0.7157995403042814,0.7157995403042814,nan,nan
lstm,validation,balanced_accuracy,1,0.5258588852421757,0.0,0.5258588852421757,0.5258588852421757,0.5258588852421757,nan,nan
lstm,validation,macro_f1_all_classes,1,0.40435497579077473,0.0,0.40435497579077473,0.40435497579077473,0.40435497579077473,nan,nan
lstm,validation,best_epoch,1,8.75,0.0,8.75,8.75,8.75,nan,nan
lstm,validation,stopping_epoch,1,23.75,0.0,23.75,23.75,23.75,nan,nan
lstm,validation,best_validation_macro_f1,1,0.40435497579077473,0.0,0.40435497579077473,0.40435497579077473,0.40435497579077473,nan,nan
lstm,validation,training_seconds,1,21.27943690000029,0.0,21.27943690000029,21.27943690000029,21.27943690000029,nan,nan
tcn,validation,accuracy,1,0.7165035064204298,0.0,0.7165035064204298,0.7165035064204298,0.7165035064204298,nan,nan
tcn,validation,balanced_accuracy,1,0.520429843421528,0.0,0.520429843421528,0.520429843421528,0.520429843421528,nan,nan
tcn,validation,macro_f1_all_classes,1,0.4035265897568637,0.0,0.4035265897568637,0.4035265897568637,0.4035265897568637,nan,nan
tcn,validation,best_epoch,1,5.75,0.0,5.75,5.75,5.75,nan,nan
tcn,validation,stopping_epoch,1,20.75,0.0,20.75,20.75,20.75,nan,nan
tcn,validation,best_validation_macro_f1,1,0.4035265897568637,0.0,0.4035265897568637,0.4035265897568637,0.4035265897568637,nan,nan
tcn,validation,training_seconds,1,1782.0488230000083,0.0,1782.0488230000083,1782.0488230000083,1782.0488230000083,nan,nan
