model_key,fold,method,num_windows,balanced_accuracy,macro_f1_all_classes
lstm_b,1,argmax,1180,0.5907784839408771,0.46230365557907716
lstm_b,1,crossfit_threshold,1180,0.5955511724742494,0.4683494303048097
lstm_b,2,argmax,1173,0.391829109811566,0.33815165744779224
lstm_b,2,crossfit_threshold,1173,0.3874431448992852,0.3366304100249054
lstm_b,3,argmax,1151,0.5460221782416722,0.39763990497999196
lstm_b,3,crossfit_threshold,1151,0.23816323262517347,0.26439466151068464
lstm_b,4,argmax,1125,0.5703825337776744,0.4038084747007417
lstm_b,4,crossfit_threshold,1125,0.4126365961404324,0.28656462284646445
tcn_b,1,argmax,1180,0.7268001071419875,0.41761614901703537
tcn_b,1,crossfit_threshold,1180,0.716925998977281,0.41010564738840566
tcn_b,2,argmax,1173,0.493393341742155,0.38381767490112173
tcn_b,2,crossfit_threshold,1173,0.39879983182356765,0.36509434668943874
tcn_b,3,argmax,1151,0.40388687235329707,0.39384059125073234
tcn_b,3,crossfit_threshold,1151,0.26876267748478705,0.28206492815327305
tcn_b,4,argmax,1125,0.5147058823529412,0.41639273351049894
tcn_b,4,crossfit_threshold,1125,0.4603168836704643,0.38610575995158086
tcn_c,1,argmax,1180,0.7133099568997006,0.4155355864483232
tcn_c,1,crossfit_threshold,1180,0.7189836121460053,0.41776680220017504
tcn_c,2,argmax,1173,0.4841006383060047,0.3841724676497678
tcn_c,2,crossfit_threshold,1173,0.4193794671864847,0.3572161081825375
tcn_c,3,argmax,1151,0.5144680725843318,0.3975278133562489
tcn_c,3,crossfit_threshold,1151,0.39689868687947044,0.3563132521598034
tcn_c,4,argmax,1125,0.49917008964323545,0.4166219503790627
tcn_c,4,crossfit_threshold,1125,0.43726668862538426,0.393231898207749
