model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,configuration_id,representation,window_size_frames,seed,estimators
svm,hierarchical_r0,1,validation,alert,0.8593220338983051,1.0,0.9243391066545124,1014,G45__hierarchical_b_w60__svm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,1,validation,fatigue,0.0,0.0,0.0,4,G45__hierarchical_b_w60__svm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,1,validation,distraction,0.0,0.0,0.0,162,G45__hierarchical_b_w60__svm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,1,validation,alert,0.9042663891779397,0.8570019723865878,0.88,1014,G45__hierarchical_b_w60__lstm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,1,validation,fatigue,0.3333333333333333,0.25,0.2857142857142857,4,G45__hierarchical_b_w60__lstm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,1,validation,distraction,0.3333333333333333,0.4444444444444444,0.38095238095238093,162,G45__hierarchical_b_w60__lstm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,2,validation,alert,0.9205240174672489,0.975925925925926,0.9474157303370786,1080,G45__hierarchical_b_w60__svm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,2,validation,fatigue,0.0,0.0,0.0,17,G45__hierarchical_b_w60__svm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,2,validation,distraction,0.07142857142857142,0.02631578947368421,0.038461538461538464,76,G45__hierarchical_b_w60__svm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,2,validation,alert,0.9398963730569948,0.8398148148148148,0.887041564792176,1080,G45__hierarchical_b_w60__lstm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,2,validation,fatigue,0.0,0.0,0.0,17,G45__hierarchical_b_w60__lstm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,2,validation,distraction,0.1839080459770115,0.42105263157894735,0.256,76,G45__hierarchical_b_w60__lstm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,3,validation,alert,0.8558718861209964,0.9756592292089249,0.9118483412322275,986,G45__hierarchical_b_w60__svm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,3,validation,fatigue,0.0,0.0,0.0,13,G45__hierarchical_b_w60__svm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,3,validation,distraction,0.1111111111111111,0.019736842105263157,0.0335195530726257,152,G45__hierarchical_b_w60__svm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,3,validation,alert,0.889132821075741,0.821501014198783,0.8539799683711122,986,G45__hierarchical_b_w60__lstm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,3,validation,fatigue,0.0,0.0,0.0,13,G45__hierarchical_b_w60__lstm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,3,validation,distraction,0.26778242677824265,0.42105263157894735,0.3273657289002558,152,G45__hierarchical_b_w60__lstm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,4,validation,alert,0.9155509783728115,0.8784584980237155,0.8966212808875441,1012,G45__hierarchical_b_w60__svm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,4,validation,fatigue,0.0,0.0,0.0,17,G45__hierarchical_b_w60__svm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,4,validation,distraction,0.19480519480519481,0.3125,0.24,96,G45__hierarchical_b_w60__svm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,4,validation,alert,0.928743961352657,0.7598814229249012,0.8358695652173913,1012,G45__hierarchical_b_w60__lstm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,4,validation,fatigue,0.14285714285714285,0.058823529411764705,0.08333333333333333,17,G45__hierarchical_b_w60__lstm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,4,validation,distraction,0.15517241379310345,0.46875,0.23316062176165803,96,G45__hierarchical_b_w60__lstm__r0__w60__fold_4__seed_42,G45,hierarchical_b_w60,R0,60,42,2
