model,ablation,fold,subset,actual,predicted,count
svm,facial_only,1,validation,alert,alert,781
svm,facial_only,1,validation,alert,fatigue,52
svm,facial_only,1,validation,alert,distraction,181
svm,facial_only,1,validation,fatigue,alert,1
svm,facial_only,1,validation,fatigue,fatigue,2
svm,facial_only,1,validation,fatigue,distraction,1
svm,facial_only,1,validation,distraction,alert,77
svm,facial_only,1,validation,distraction,fatigue,8
svm,facial_only,1,validation,distraction,distraction,77
svm,facial_only,1,test,alert,alert,801
svm,facial_only,1,test,alert,fatigue,82
svm,facial_only,1,test,alert,distraction,205
svm,facial_only,1,test,fatigue,alert,33
svm,facial_only,1,test,fatigue,fatigue,4
svm,facial_only,1,test,fatigue,distraction,30
svm,facial_only,1,test,distraction,alert,65
svm,facial_only,1,test,distraction,fatigue,31
svm,facial_only,1,test,distraction,distraction,283
random_forest,facial_only,1,validation,alert,alert,951
random_forest,facial_only,1,validation,alert,fatigue,0
random_forest,facial_only,1,validation,alert,distraction,63
random_forest,facial_only,1,validation,fatigue,alert,4
random_forest,facial_only,1,validation,fatigue,fatigue,0
random_forest,facial_only,1,validation,fatigue,distraction,0
random_forest,facial_only,1,validation,distraction,alert,108
random_forest,facial_only,1,validation,distraction,fatigue,0
random_forest,facial_only,1,validation,distraction,distraction,54
random_forest,facial_only,1,test,alert,alert,1015
random_forest,facial_only,1,test,alert,fatigue,0
random_forest,facial_only,1,test,alert,distraction,73
random_forest,facial_only,1,test,fatigue,alert,50
random_forest,facial_only,1,test,fatigue,fatigue,0
random_forest,facial_only,1,test,fatigue,distraction,17
random_forest,facial_only,1,test,distraction,alert,159
random_forest,facial_only,1,test,distraction,fatigue,0
random_forest,facial_only,1,test,distraction,distraction,220
xgboost,facial_only,1,validation,alert,alert,858
xgboost,facial_only,1,validation,alert,fatigue,8
xgboost,facial_only,1,validation,alert,distraction,148
xgboost,facial_only,1,validation,fatigue,alert,4
xgboost,facial_only,1,validation,fatigue,fatigue,0
xgboost,facial_only,1,validation,fatigue,distraction,0
xgboost,facial_only,1,validation,distraction,alert,88
xgboost,facial_only,1,validation,distraction,fatigue,0
xgboost,facial_only,1,validation,distraction,distraction,74
xgboost,facial_only,1,test,alert,alert,956
xgboost,facial_only,1,test,alert,fatigue,1
xgboost,facial_only,1,test,alert,distraction,131
xgboost,facial_only,1,test,fatigue,alert,43
xgboost,facial_only,1,test,fatigue,fatigue,0
xgboost,facial_only,1,test,fatigue,distraction,24
xgboost,facial_only,1,test,distraction,alert,93
xgboost,facial_only,1,test,distraction,fatigue,2
xgboost,facial_only,1,test,distraction,distraction,284
svm,facial_only,2,validation,alert,alert,808
svm,facial_only,2,validation,alert,fatigue,100
svm,facial_only,2,validation,alert,distraction,172
svm,facial_only,2,validation,fatigue,alert,15
svm,facial_only,2,validation,fatigue,fatigue,2
svm,facial_only,2,validation,fatigue,distraction,0
svm,facial_only,2,validation,distraction,alert,32
svm,facial_only,2,validation,distraction,fatigue,7
svm,facial_only,2,validation,distraction,distraction,37
svm,facial_only,2,test,alert,alert,1382
svm,facial_only,2,test,alert,fatigue,76
svm,facial_only,2,test,alert,distraction,113
svm,facial_only,2,test,fatigue,alert,0
svm,facial_only,2,test,fatigue,fatigue,0
svm,facial_only,2,test,fatigue,distraction,0
svm,facial_only,2,test,distraction,alert,92
svm,facial_only,2,test,distraction,fatigue,19
svm,facial_only,2,test,distraction,distraction,182
random_forest,facial_only,2,validation,alert,alert,950
random_forest,facial_only,2,validation,alert,fatigue,7
random_forest,facial_only,2,validation,alert,distraction,123
random_forest,facial_only,2,validation,fatigue,alert,17
