model,ablation,fold,subset,label,precision,recall,f1,support
svm,facial_only,1,validation,alert,0.9091967403958091,0.7702169625246549,0.8339562199679659,1014
svm,facial_only,1,validation,fatigue,0.03225806451612903,0.5,0.06060606060606061,4
svm,facial_only,1,validation,distraction,0.2972972972972973,0.47530864197530864,0.3657957244655582,162
svm,facial_only,1,test,alert,0.8909899888765295,0.7362132352941176,0.8062405636638148,1088
svm,facial_only,1,test,fatigue,0.03418803418803419,0.05970149253731343,0.043478260869565216,67
svm,facial_only,1,test,distraction,0.5463320463320464,0.7467018469656992,0.6309921962095875,379
random_forest,facial_only,1,validation,alert,0.8946378174976481,0.9378698224852071,0.915743861338469,1014
random_forest,facial_only,1,validation,fatigue,0.0,0.0,0.0,4
random_forest,facial_only,1,validation,distraction,0.46153846153846156,0.3333333333333333,0.3870967741935484,162
random_forest,facial_only,1,test,alert,0.829248366013072,0.9329044117647058,0.8780276816608996,1088
random_forest,facial_only,1,test,fatigue,0.0,0.0,0.0,67
random_forest,facial_only,1,test,distraction,0.7096774193548387,0.5804749340369393,0.6386066763425254,379
xgboost,facial_only,1,validation,alert,0.9031578947368422,0.8461538461538461,0.8737270875763747,1014
xgboost,facial_only,1,validation,fatigue,0.0,0.0,0.0,4
xgboost,facial_only,1,validation,distraction,0.3333333333333333,0.4567901234567901,0.3854166666666667,162
xgboost,facial_only,1,test,alert,0.8754578754578755,0.8786764705882353,0.8770642201834863,1088
xgboost,facial_only,1,test,fatigue,0.0,0.0,0.0,67
xgboost,facial_only,1,test,distraction,0.6469248291571754,0.7493403693931399,0.6943765281173594,379
svm,facial_only,2,validation,alert,0.9450292397660819,0.7481481481481481,0.8351421188630491,1080
svm,facial_only,2,validation,fatigue,0.01834862385321101,0.11764705882352941,0.031746031746031744,17
svm,facial_only,2,validation,distraction,0.17703349282296652,0.4868421052631579,0.2596491228070175,76
svm,facial_only,2,test,alert,0.937584803256445,0.8796944621260344,0.9077175697865353,1571
svm,facial_only,2,test,fatigue,,,,0
svm,facial_only,2,test,distraction,0.6169491525423729,0.621160409556314,0.6190476190476191,293
random_forest,facial_only,2,validation,alert,0.9405940594059405,0.8796296296296297,0.9090909090909091,1080
random_forest,facial_only,2,validation,fatigue,0.0,0.0,0.0,17
random_forest,facial_only,2,validation,distraction,0.21153846153846154,0.4342105263157895,0.28448275862068967,76
random_forest,facial_only,2,test,alert,0.9335463258785942,0.9299809038828771,0.9317602040816326,1571
random_forest,facial_only,2,test,fatigue,,,,0
random_forest,facial_only,2,test,distraction,0.6394557823129252,0.6416382252559727,0.6405451448040886,293
xgboost,facial_only,2,validation,alert,0.9444444444444444,0.8185185185185185,0.876984126984127,1080
xgboost,facial_only,2,validation,fatigue,0.0,0.0,0.0,17
xgboost,facial_only,2,validation,distraction,0.17972350230414746,0.5131578947368421,0.26621160409556316,76
xgboost,facial_only,2,test,alert,0.9361563517915309,0.9147040101845958,0.9253058596265293,1571
xgboost,facial_only,2,test,fatigue,,,,0
xgboost,facial_only,2,test,distraction,0.6109324758842444,0.6484641638225256,0.6291390728476821,293
svm,facial_only,3,validation,alert,0.8878718535469108,0.7870182555780934,0.8344086021505376,986
svm,facial_only,3,validation,fatigue,0.0,0.0,0.0,13
svm,facial_only,3,validation,distraction,0.2603305785123967,0.4144736842105263,0.3197969543147208,152
svm,facial_only,3,test,alert,0.9515757109915449,0.9056327724945136,0.9280359820089955,1367
svm,facial_only,3,test,fatigue,0.0,0.0,0.0,21
svm,facial_only,3,test,distraction,0.3413173652694611,0.5089285714285714,0.40860215053763443,112
random_forest,facial_only,3,validation,alert,0.8848114169215087,0.8803245436105477,0.8825622775800712,986
random_forest,facial_only,3,validation,fatigue,0.0,0.0,0.0,13
random_forest,facial_only,3,validation,distraction,0.3151515151515151,0.34210526315789475,0.3280757097791798,152
random_forest,facial_only,3,test,alert,0.9411764705882353,0.9480614484272128,0.9446064139941691,1367
random_forest,facial_only,3,test,fatigue,0.0,0.0,0.0,21
random_forest,facial_only,3,test,distraction,0.4146341463414634,0.45535714285714285,0.4340425531914894,112
xgboost,facial_only,3,validation,alert,0.8880090497737556,0.7961460446247465,0.839572192513369,986
xgboost,facial_only,3,validation,fatigue,0.0,0.0,0.0,13
xgboost,facial_only,3,validation,distraction,0.256,0.42105263157894735,0.31840796019900497,152
xgboost,facial_only,3,test,alert,0.9564553093964858,0.9158741770299926,0.9357249626307922,1367
xgboost,facial_only,3,test,fatigue,0.0,0.0,0.0,21
xgboost,facial_only,3,test,distraction,0.3817204301075269,0.6339285714285714,0.47651006711409394,112
svm,facial_only,4,validation,alert,0.935251798561151,0.7707509881422925,0.8450704225352113,1012
svm,facial_only,4,validation,fatigue,0.023529411764705882,0.11764705882352941,0.0392156862745098,17
svm,facial_only,4,validation,distraction,0.19902912621359223,0.4270833333333333,0.271523178807947,96
svm,facial_only,4,test,alert,0.9019073569482289,0.6917450365726228,0.7829686575990538,957
svm,facial_only,4,test,fatigue,,,,0
svm,facial_only,4,test,distraction,0.23660714285714285,0.38405797101449274,0.292817679558011,138
random_forest,facial_only,4,validation,alert,0.9305263157894736,0.8735177865612648,0.9011213047910296,1012
random_forest,facial_only,4,validation,fatigue,0.0,0.0,0.0,17
random_forest,facial_only,4,validation,distraction,0.27976190476190477,0.4895833333333333,0.3560606060606061,96
random_forest,facial_only,4,test,alert,0.9022727272727272,0.8296760710553814,0.864452912357104,957
random_forest,facial_only,4,test,fatigue,,,,0
random_forest,facial_only,4,test,distraction,0.24299065420560748,0.37681159420289856,0.29545454545454547,138
xgboost,facial_only,4,validation,alert,0.9325221238938053,0.8330039525691699,0.8799582463465553,1012
xgboost,facial_only,4,validation,fatigue,0.0,0.0,0.0,17
xgboost,facial_only,4,validation,distraction,0.23979591836734693,0.4895833333333333,0.3219178082191781,96
xgboost,facial_only,4,test,alert,0.9094247246022031,0.7763845350052246,0.8376550169109357,957
xgboost,facial_only,4,test,fatigue,,,,0
xgboost,facial_only,4,test,distraction,0.23484848484848486,0.4492753623188406,0.30845771144278605,138
svm,facial_plus_missingness,1,validation,alert,0.9144196951934349,0.7692307692307693,0.8355650776647028,1014
svm,facial_plus_missingness,1,validation,fatigue,0.03125,0.5,0.058823529411764705,4
svm,facial_plus_missingness,1,validation,distraction,0.30798479087452474,0.5,0.3811764705882353,162
