model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint
svm,facial_only,1,validation,1180,0.7288135593220338,0.5818418681666545,0.42011933501319493,0.42011933501319493,"[""alert"", ""fatigue"", ""distraction""]",[],0.24008350000076462,False
svm,facial_only,1,test,1534,0.7092568448500652,0.5142055249323767,0.49357034024765584,0.49357034024765584,"[""alert"", ""fatigue"", ""distraction""]",[],0.24008350000076462,False
random_forest,facial_only,1,validation,1180,0.8516949152542372,0.4237343852728468,0.43428021184400584,0.43428021184400584,"[""alert"", ""fatigue"", ""distraction""]",[],1.1079286000003776,False
random_forest,facial_only,1,test,1534,0.8050847457627118,0.5044597819338817,0.5055447860011416,0.5055447860011416,"[""alert"", ""fatigue"", ""distraction""]",[],1.1079286000003776,False
xgboost,facial_only,1,validation,1180,0.7898305084745763,0.43431465653687873,0.4197145847476805,0.4197145847476805,"[""alert"", ""fatigue"", ""distraction""]",[],4.531720099999802,False
xgboost,facial_only,1,test,1534,0.8083441981747066,0.5426722799937918,0.5238135827669486,0.5238135827669486,"[""alert"", ""fatigue"", ""distraction""]",[],4.531720099999802,False
svm,facial_only,2,validation,1173,0.722080136402387,0.45087910407827847,0.37551242447203276,0.37551242447203276,"[""alert"", ""fatigue"", ""distraction""]",[],0.24694780000027095,False
svm,facial_only,2,test,1864,0.8390557939914163,0.7504274358411742,0.7633825944170771,0.5089217296113847,"[""alert"", ""distraction""]","[""fatigue""]",0.24694780000027095,False
random_forest,facial_only,2,validation,1173,0.8380221653878943,0.43794671864847307,0.39785788923719956,0.39785788923719956,"[""alert"", ""fatigue"", ""distraction""]",[],1.0641747999998188,False
random_forest,facial_only,2,test,1864,0.884656652360515,0.785809564569425,0.7861526744428606,0.5241017829619071,"[""alert"", ""distraction""]","[""fatigue""]",1.0641747999998188,False
xgboost,facial_only,2,validation,1173,0.7868712702472294,0.4438921377517869,0.38106524369323,0.38106524369323,"[""alert"", ""fatigue"", ""distraction""]",[],4.389422500000364,False
xgboost,facial_only,2,test,1864,0.8728540772532188,0.7815840870035606,0.7772224662371057,0.5181483108247371,"[""alert"", ""distraction""]","[""fatigue""]",4.389422500000364,False
svm,facial_only,3,validation,1151,0.7289313640312771,0.40049731326287324,0.3847351854884195,0.3847351854884195,"[""alert"", ""fatigue"", ""distraction""]",[],0.2993298000001232,False
svm,facial_only,3,test,1500,0.8633333333333333,0.4715204479743617,0.44554604418220994,0.44554604418220994,"[""alert"", ""fatigue"", ""distraction""]",[],0.2993298000001232,False
random_forest,facial_only,3,validation,1151,0.7993049522154648,0.4074766022561475,0.403545995786417,0.403545995786417,"[""alert"", ""fatigue"", ""distraction""]",[],1.1815979000002699,False
random_forest,facial_only,3,test,1500,0.898,0.46780619709478527,0.45954965572855283,0.45954965572855283,"[""alert"", ""fatigue"", ""distraction""]",[],1.1815979000002699,False
xgboost,facial_only,3,validation,1151,0.737619461337967,0.4057328920678979,0.38599338423745805,0.38599338423745805,"[""alert"", ""fatigue"", ""distraction""]",[],1.1728352999998606,False
xgboost,facial_only,3,test,1500,0.882,0.5166009161528547,0.470745009914962,0.470745009914962,"[""alert"", ""fatigue"", ""distraction""]",[],1.1728352999998606,False
svm,facial_only,4,validation,1125,0.7315555555555555,0.4384937934330517,0.3852697625392227,0.3852697625392227,"[""alert"", ""fatigue"", ""distraction""]",[],0.30239419999998063,False
svm,facial_only,4,test,1095,0.6529680365296804,0.5379015037935577,0.5378931685785324,0.35859544571902163,"[""alert"", ""distraction""]","[""fatigue""]",0.30239419999998063,False
random_forest,facial_only,4,validation,1125,0.8275555555555556,0.45436703996486605,0.4190606369505452,0.4190606369505452,"[""alert"", ""fatigue"", ""distraction""]",[],1.1498977999999624,False
random_forest,facial_only,4,test,1095,0.7726027397260274,0.60324383262914,0.5799537289058248,0.38663581927054985,"[""alert"", ""distraction""]","[""fatigue""]",1.1498977999999624,False
xgboost,facial_only,4,validation,1125,0.7911111111111111,0.44086242863416775,0.40062535152191114,0.40062535152191114,"[""alert"", ""fatigue"", ""distraction""]",[],3.0001397999985784,False
xgboost,facial_only,4,test,1095,0.7351598173515982,0.6128299486620326,0.5730563641768609,0.3820375761179073,"[""alert"", ""distraction""]","[""fatigue""]",3.0001397999985784,False
svm,facial_plus_missingness,1,validation,1180,0.7313559322033898,0.5897435897435898,0.42518835922156756,0.42518835922156756,"[""alert"", ""fatigue"", ""distraction""]",[],0.29972520000046643,False
svm,facial_plus_missingness,1,test,1534,0.6844850065189049,0.4888081298265772,0.47720200330210005,0.47720200330210005,"[""alert"", ""fatigue"", ""distraction""]",[],0.29972520000046643,False
random_forest,facial_plus_missingness,1,validation,1180,0.8440677966101695,0.41558915917890277,0.42432822448826063,0.42432822448826063,"[""alert"", ""fatigue"", ""distraction""]",[],1.0977617999997165,False
random_forest,facial_plus_missingness,1,test,1534,0.8089960886571056,0.509736826788763,0.5102239803993752,0.5102239803993752,"[""alert"", ""fatigue"", ""distraction""]",[],1.0977617999997165,False
xgboost,facial_plus_missingness,1,validation,1180,0.7864406779661017,0.42954196800350647,0.414890674758394,0.414890674758394,"[""alert"", ""fatigue"", ""distraction""]",[],4.3173673000001145,False
xgboost,facial_plus_missingness,1,test,1534,0.8037809647979139,0.5370888625898909,0.5196547646575564,0.5196547646575564,"[""alert"", ""fatigue"", ""distraction""]",[],4.3173673000001145,False
svm,facial_plus_missingness,2,validation,1173,0.7169650468883205,0.4612592210373428,0.3764146447867378,0.3764146447867378,"[""alert"", ""fatigue"", ""distraction""]",[],0.26511159999972733,False
svm,facial_plus_missingness,2,test,1864,0.8369098712446352,0.7491543613663174,0.7585095418541675,0.5056730279027783,"[""alert"", ""distraction""]","[""fatigue""]",0.26511159999972733,False
random_forest,facial_plus_missingness,2,validation,1173,0.8337595907928389,0.4282488628979857,0.3905370554484963,0.3905370554484963,"[""alert"", ""fatigue"", ""distraction""]",[],1.0742078999992373,False
random_forest,facial_plus_missingness,2,test,1864,0.8835836909871244,0.7865612433549206,0.7849226781876095,0.5232817854584063,"[""alert"", ""distraction""]","[""fatigue""]",1.0742078999992373,False
xgboost,facial_plus_missingness,2,validation,1173,0.7953964194373402,0.45105588044184536,0.3883655265203891,0.3883655265203891,"[""alert"", ""fatigue"", ""distraction""]",[],4.370918500000698,False
xgboost,facial_plus_missingness,2,test,1864,0.8755364806866953,0.7817872140742077,0.7794446485072271,0.5196297656714847,"[""alert"", ""distraction""]","[""fatigue""]",4.370918500000698,False
svm,facial_plus_missingness,3,validation,1151,0.7298001737619462,0.3989804633287071,0.3859342210336694,0.3859342210336694,"[""alert"", ""fatigue"", ""distraction""]",[],0.2720112999995763,False
svm,facial_plus_missingness,3,test,1500,0.8626666666666667,0.47400895252029124,0.4412656685355952,0.4412656685355952,"[""alert"", ""fatigue"", ""distraction""]",[],0.2720112999995763,False
random_forest,facial_plus_missingness,3,validation,1151,0.7993049522154648,0.40933151845130067,0.4052586938083121,0.4052586938083121,"[""alert"", ""fatigue"", ""distraction""]",[],1.322396800000206,False
random_forest,facial_plus_missingness,3,test,1500,0.9,0.4740024210122966,0.4644273944609097,0.4644273944609097,"[""alert"", ""fatigue"", ""distraction""]",[],1.322396800000206,False
xgboost,facial_plus_missingness,3,validation,1151,0.735881841876629,0.4032018433507704,0.3839785032058957,0.3839785032058957,"[""alert"", ""fatigue"", ""distraction""]",[],1.6373257000013837,False
xgboost,facial_plus_missingness,3,test,1500,0.8846666666666667,0.5148439405023165,0.4722707445884793,0.4722707445884793,"[""alert"", ""fatigue"", ""distraction""]",[],1.6373257000013837,False
svm,facial_plus_missingness,4,validation,1125,0.7288888888888889,0.4437913340566793,0.3859717325389121,0.3859717325389121,"[""alert"", ""fatigue"", ""distraction""]",[],0.3393705999988015,False
svm,facial_plus_missingness,4,test,1095,0.6566210045662101,0.5616964245150152,0.5468842620035566,0.36458950800237105,"[""alert"", ""distraction""]","[""fatigue""]",0.3393705999988015,False
random_forest,facial_plus_missingness,4,validation,1125,0.8257777777777778,0.4537082784365393,0.4169154228855721,0.4169154228855721,"[""alert"", ""fatigue"", ""distraction""]",[],1.167739000000438,False
random_forest,facial_plus_missingness,4,test,1095,0.7616438356164383,0.596974240152651,0.5713502935420743,0.3809001956947162,"[""alert"", ""distraction""]","[""fatigue""]",1.167739000000438,False
xgboost,facial_plus_missingness,4,validation,1125,0.7911111111111111,0.44086242863416775,0.40062535152191114,0.40062535152191114,"[""alert"", ""fatigue"", ""distraction""]",[],3.762730800001009,False
xgboost,facial_plus_missingness,4,test,1095,0.7315068493150685,0.6045386397710236,0.5693635229096096,0.37957568193973973,"[""alert"", ""distraction""]","[""fatigue""]",3.762730800001009,False
svm,missingness_only,1,validation,1180,0.7288135593220338,0.5593664012467431,0.41405298248338646,0.41405298248338646,"[""alert"", ""fatigue"", ""distraction""]",[],0.30984650000027614,False
