ablation,candidate_id,fingerprint,fold,model,parameters,selected_best,train_seconds,validation_balanced_accuracy,validation_macro_f1
facial_only,c8da45025ca6,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,1,svm,"{""C"": 10.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}",True,1.9350732000002608,0.6541566221053401,0.42164633051846434
facial_only,86c07b9f0b9c,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,1,random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500, ""n_jobs"": -1}",True,1.9147953000010602,0.4301629045218789,0.4349844628885684
facial_only,9ff407e47a79,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,1,xgboost,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}",True,2.310432899999796,0.4296150193586091,0.42094252009778677
facial_only,9384a3bb8ca8,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,2,svm,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",True,0.38400390000060725,0.45087910407827847,0.37551242447203287
facial_only,345dfc61311f,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,2,random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}",True,1.9188900000008289,0.44381091617933727,0.4095926912828321
facial_only,9ff407e47a79,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,2,xgboost,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}",True,2.6291150000015477,0.4497563352826511,0.3897355445988346
facial_only,3f2d5a9c37df,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,3,svm,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",True,0.46242530000017723,0.40860200704601257,0.3964160623550885
facial_only,1f3f5b7a1f13,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,3,random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}",True,0.9576485999987199,0.40934041493185297,0.40777170613236186
facial_only,61d28dd004ab,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,3,xgboost,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}",True,0.6485892000000604,0.407916978043486,0.3885831975242347
facial_only,3f2d5a9c37df,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,4,svm,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",True,0.5061499000003096,0.43313570487483527,0.4019873462931782
facial_only,b488d33d0ae3,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,4,random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}",True,2.1968125000003056,0.45550614844093107,0.4254823807115158
facial_only,5019e0e4e655,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,4,xgboost,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}",True,0.5757479000003514,0.47333953344183527,0.4183378192469413
facial_plus_missingness,c8da45025ca6,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,1,svm,"{""C"": 10.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}",True,1.8906924000002618,0.6670745367326564,0.4322863610639502
facial_plus_missingness,1f3f5b7a1f13,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,1,random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}",True,0.8143266999995831,0.41607616821292037,0.42870813397129187
facial_plus_missingness,900dbedc225b,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,1,xgboost,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 600, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}",True,6.859502999999677,0.4335719677600019,0.42109472155729516
facial_plus_missingness,4f4f2e972d2b,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,2,svm,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": 0.1, ""kernel"": ""rbf""}",True,0.41146779999871796,0.46842296372740133,0.3831436555648726
facial_plus_missingness,cfdf5414a6fe,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,2,random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}",True,0.859969999999521,0.4391163092917479,0.4061466952497345
facial_plus_missingness,7aa0faebcd59,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,2,xgboost,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 600, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}",True,6.581161699999939,0.4500649772579597,0.3910980199639993
facial_plus_missingness,c8da45025ca6,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,3,svm,"{""C"": 10.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}",True,2.472232800000711,0.4251152436403851,0.39684250695200096
facial_plus_missingness,862912140178,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,3,random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}",True,2.3257515000004787,0.40917583004163555,0.40874827964825994
facial_plus_missingness,9ff407e47a79,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,3,xgboost,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}",True,0.8366442000005918,0.40978968719974374,0.391445678673447
facial_plus_missingness,47b8cdda5535,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,4,svm,"{""C"": 10.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",True,0.40641189999951166,0.45415310392931874,0.4034454078458843
facial_plus_missingness,862912140178,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,4,random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}",True,2.0092124000002514,0.45550614844093107,0.42402783525697024
facial_plus_missingness,5019e0e4e655,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,4,xgboost,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}",True,0.5259643999997934,0.4726807719135085,0.4173604687018193
missingness_only,8b5eb616ca11,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,1,svm,"{""C"": 10.0, ""class_weight"": ""balanced"", ""gamma"": 0.1, ""kernel"": ""rbf""}",True,0.5099989000009373,0.562824165388268,0.41626773049645394
missingness_only,4643bba06fbb,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,1,random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}",True,1.7680254000006244,0.4157109114374071,0.40604587160953115
missingness_only,2ac28921e2fc,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,1,xgboost,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}",True,1.1757273999992321,0.4091484647040202,0.4022721069099391
missingness_only,34c97e51572e,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,2,svm,"{""C"": 1.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}",True,0.15914100000009057,0.4144268623628789,0.37525982258222385
missingness_only,41e55919bdbe,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,2,random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500, ""n_jobs"": -1}",True,1.9884222999990016,0.4299382716049383,0.380342642107348
missingness_only,a4ed4de96c0f,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,2,xgboost,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}",True,1.8516483999992488,0.4220922677063028,0.3837794587325601
missingness_only,b785e498e470,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,3,svm,"{""C"": 0.1, ""class_weight"": ""balanced"", ""kernel"": ""linear""}",True,0.17931429999953252,0.3920723461798512,0.38617259520033925
missingness_only,d5eb4fec9dc7,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,3,random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 3, ""n_estimators"": 200, ""n_jobs"": -1}",True,0.7017182000017783,0.40455410839471906,0.3897352063764743
missingness_only,9ff407e47a79,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,3,xgboost,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}",True,0.6981919999998354,0.365574178854845,0.37638971027168105
missingness_only,c8da45025ca6,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,4,svm,"{""C"": 10.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}",True,0.37077080000017304,0.42936720142602497,0.39776549829665137
missingness_only,e0c6471ac708,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,4,random_forest,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500, ""n_jobs"": -1}",True,1.8578656999998202,0.4430171277997365,0.4060135315588
missingness_only,3c0353feee8d,22557198bb82e52567d7d8b5c27dbb58d1f51966b9e15e7c5eee66736912ed1e,4,xgboost,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}",True,0.8376635000004171,0.40533047870004396,0.39663042842948154
