model,ablation,fold,subset,actual,predicted,count
svm,facial_only,1,validation,alert,alert,760
svm,facial_only,1,validation,alert,fatigue,115
svm,facial_only,1,validation,alert,distraction,139
svm,facial_only,1,validation,fatigue,alert,1
svm,facial_only,1,validation,fatigue,fatigue,3
svm,facial_only,1,validation,fatigue,distraction,0
svm,facial_only,1,validation,distraction,alert,79
svm,facial_only,1,validation,distraction,fatigue,8
svm,facial_only,1,validation,distraction,distraction,75
svm,facial_only,1,test,alert,alert,608
svm,facial_only,1,test,alert,fatigue,82
svm,facial_only,1,test,alert,distraction,398
svm,facial_only,1,test,fatigue,alert,8
svm,facial_only,1,test,fatigue,fatigue,0
svm,facial_only,1,test,fatigue,distraction,59
svm,facial_only,1,test,distraction,alert,17
svm,facial_only,1,test,distraction,fatigue,4
svm,facial_only,1,test,distraction,distraction,358
random_forest,facial_only,1,validation,alert,alert,933
random_forest,facial_only,1,validation,alert,fatigue,0
random_forest,facial_only,1,validation,alert,distraction,81
random_forest,facial_only,1,validation,fatigue,alert,4
random_forest,facial_only,1,validation,fatigue,fatigue,0
random_forest,facial_only,1,validation,fatigue,distraction,0
random_forest,facial_only,1,validation,distraction,alert,102
random_forest,facial_only,1,validation,distraction,fatigue,0
random_forest,facial_only,1,validation,distraction,distraction,60
random_forest,facial_only,1,test,alert,alert,1006
random_forest,facial_only,1,test,alert,fatigue,0
random_forest,facial_only,1,test,alert,distraction,82
random_forest,facial_only,1,test,fatigue,alert,49
random_forest,facial_only,1,test,fatigue,fatigue,0
random_forest,facial_only,1,test,fatigue,distraction,18
random_forest,facial_only,1,test,distraction,alert,137
random_forest,facial_only,1,test,distraction,fatigue,0
random_forest,facial_only,1,test,distraction,distraction,242
xgboost,facial_only,1,validation,alert,alert,875
xgboost,facial_only,1,validation,alert,fatigue,8
xgboost,facial_only,1,validation,alert,distraction,131
xgboost,facial_only,1,validation,fatigue,alert,4
xgboost,facial_only,1,validation,fatigue,fatigue,0
xgboost,facial_only,1,validation,fatigue,distraction,0
xgboost,facial_only,1,validation,distraction,alert,92
xgboost,facial_only,1,validation,distraction,fatigue,1
xgboost,facial_only,1,validation,distraction,distraction,69
xgboost,facial_only,1,test,alert,alert,952
xgboost,facial_only,1,test,alert,fatigue,1
xgboost,facial_only,1,test,alert,distraction,135
xgboost,facial_only,1,test,fatigue,alert,45
xgboost,facial_only,1,test,fatigue,fatigue,0
xgboost,facial_only,1,test,fatigue,distraction,22
xgboost,facial_only,1,test,distraction,alert,106
xgboost,facial_only,1,test,distraction,fatigue,2
xgboost,facial_only,1,test,distraction,distraction,271
svm,facial_only,2,validation,alert,alert,808
svm,facial_only,2,validation,alert,fatigue,100
svm,facial_only,2,validation,alert,distraction,172
svm,facial_only,2,validation,fatigue,alert,15
svm,facial_only,2,validation,fatigue,fatigue,2
svm,facial_only,2,validation,fatigue,distraction,0
svm,facial_only,2,validation,distraction,alert,32
svm,facial_only,2,validation,distraction,fatigue,7
svm,facial_only,2,validation,distraction,distraction,37
svm,facial_only,2,test,alert,alert,1382
svm,facial_only,2,test,alert,fatigue,76
svm,facial_only,2,test,alert,distraction,113
svm,facial_only,2,test,fatigue,alert,0
svm,facial_only,2,test,fatigue,fatigue,0
svm,facial_only,2,test,fatigue,distraction,0
svm,facial_only,2,test,distraction,alert,92
svm,facial_only,2,test,distraction,fatigue,19
svm,facial_only,2,test,distraction,distraction,182
random_forest,facial_only,2,validation,alert,alert,969
random_forest,facial_only,2,validation,alert,fatigue,7
random_forest,facial_only,2,validation,alert,distraction,104
random_forest,facial_only,2,validation,fatigue,alert,17
random_forest,facial_only,2,validation,fatigue,fatigue,0
random_forest,facial_only,2,validation,fatigue,distraction,0
random_forest,facial_only,2,validation,distraction,alert,43
random_forest,facial_only,2,validation,distraction,fatigue,0
random_forest,facial_only,2,validation,distraction,distraction,33
random_forest,facial_only,2,test,alert,alert,1473
random_forest,facial_only,2,test,alert,fatigue,2
random_forest,facial_only,2,test,alert,distraction,96
random_forest,facial_only,2,test,fatigue,alert,0
random_forest,facial_only,2,test,fatigue,fatigue,0
random_forest,facial_only,2,test,fatigue,distraction,0
random_forest,facial_only,2,test,distraction,alert,109
random_forest,facial_only,2,test,distraction,fatigue,0
random_forest,facial_only,2,test,distraction,distraction,184
xgboost,facial_only,2,validation,alert,alert,903
xgboost,facial_only,2,validation,alert,fatigue,16
xgboost,facial_only,2,validation,alert,distraction,161
xgboost,facial_only,2,validation,fatigue,alert,17
xgboost,facial_only,2,validation,fatigue,fatigue,0
xgboost,facial_only,2,validation,fatigue,distraction,0
xgboost,facial_only,2,validation,distraction,alert,37
xgboost,facial_only,2,validation,distraction,fatigue,0
xgboost,facial_only,2,validation,distraction,distraction,39
xgboost,facial_only,2,test,alert,alert,1444
xgboost,facial_only,2,test,alert,fatigue,13
xgboost,facial_only,2,test,alert,distraction,114
xgboost,facial_only,2,test,fatigue,alert,0
xgboost,facial_only,2,test,fatigue,fatigue,0
xgboost,facial_only,2,test,fatigue,distraction,0
xgboost,facial_only,2,test,distraction,alert,100
xgboost,facial_only,2,test,distraction,fatigue,3
xgboost,facial_only,2,test,distraction,distraction,190
svm,facial_only,3,validation,alert,alert,787
svm,facial_only,3,validation,alert,fatigue,39
svm,facial_only,3,validation,alert,distraction,160
svm,facial_only,3,validation,fatigue,alert,13
svm,facial_only,3,validation,fatigue,fatigue,0
svm,facial_only,3,validation,fatigue,distraction,0
svm,facial_only,3,validation,distraction,alert,78
svm,facial_only,3,validation,distraction,fatigue,9
svm,facial_only,3,validation,distraction,distraction,65
svm,facial_only,3,test,alert,alert,1227
svm,facial_only,3,test,alert,fatigue,35
svm,facial_only,3,test,alert,distraction,105
svm,facial_only,3,test,fatigue,alert,15
svm,facial_only,3,test,fatigue,fatigue,2
svm,facial_only,3,test,fatigue,distraction,4
svm,facial_only,3,test,distraction,alert,35
svm,facial_only,3,test,distraction,fatigue,8
svm,facial_only,3,test,distraction,distraction,69
random_forest,facial_only,3,validation,alert,alert,880
random_forest,facial_only,3,validation,alert,fatigue,4
random_forest,facial_only,3,validation,alert,distraction,102
random_forest,facial_only,3,validation,fatigue,alert,13
random_forest,facial_only,3,validation,fatigue,fatigue,0
random_forest,facial_only,3,validation,fatigue,distraction,0
random_forest,facial_only,3,validation,distraction,alert,101
random_forest,facial_only,3,validation,distraction,fatigue,0
random_forest,facial_only,3,validation,distraction,distraction,51
random_forest,facial_only,3,test,alert,alert,1301
random_forest,facial_only,3,test,alert,fatigue,0
random_forest,facial_only,3,test,alert,distraction,66
random_forest,facial_only,3,test,fatigue,alert,20
random_forest,facial_only,3,test,fatigue,fatigue,0
random_forest,facial_only,3,test,fatigue,distraction,1
random_forest,facial_only,3,test,distraction,alert,65
random_forest,facial_only,3,test,distraction,fatigue,0
random_forest,facial_only,3,test,distraction,distraction,47
xgboost,facial_only,3,validation,alert,alert,772
xgboost,facial_only,3,validation,alert,fatigue,30
xgboost,facial_only,3,validation,alert,distraction,184
xgboost,facial_only,3,validation,fatigue,alert,13
xgboost,facial_only,3,validation,fatigue,fatigue,0
xgboost,facial_only,3,validation,fatigue,distraction,0
xgboost,facial_only,3,validation,distraction,alert,82
xgboost,facial_only,3,validation,distraction,fatigue,3
xgboost,facial_only,3,validation,distraction,distraction,67
xgboost,facial_only,3,test,alert,alert,1245
xgboost,facial_only,3,test,alert,fatigue,15
xgboost,facial_only,3,test,alert,distraction,107
xgboost,facial_only,3,test,fatigue,alert,16
xgboost,facial_only,3,test,fatigue,fatigue,0
xgboost,facial_only,3,test,fatigue,distraction,5
xgboost,facial_only,3,test,distraction,alert,36
xgboost,facial_only,3,test,distraction,fatigue,3
xgboost,facial_only,3,test,distraction,distraction,73
svm,facial_only,4,validation,alert,alert,809
svm,facial_only,4,validation,alert,fatigue,69
svm,facial_only,4,validation,alert,distraction,134
svm,facial_only,4,validation,fatigue,alert,17
svm,facial_only,4,validation,fatigue,fatigue,0
svm,facial_only,4,validation,fatigue,distraction,0
svm,facial_only,4,validation,distraction,alert,42
svm,facial_only,4,validation,distraction,fatigue,6
svm,facial_only,4,validation,distraction,distraction,48
svm,facial_only,4,test,alert,alert,685
svm,facial_only,4,test,alert,fatigue,117
svm,facial_only,4,test,alert,distraction,155
svm,facial_only,4,test,fatigue,alert,0
svm,facial_only,4,test,fatigue,fatigue,0
svm,facial_only,4,test,fatigue,distraction,0
svm,facial_only,4,test,distraction,alert,72
svm,facial_only,4,test,distraction,fatigue,21
svm,facial_only,4,test,distraction,distraction,45
random_forest,facial_only,4,validation,alert,alert,898
random_forest,facial_only,4,validation,alert,fatigue,6
random_forest,facial_only,4,validation,alert,distraction,108
random_forest,facial_only,4,validation,fatigue,alert,17
random_forest,facial_only,4,validation,fatigue,fatigue,0
random_forest,facial_only,4,validation,fatigue,distraction,0
random_forest,facial_only,4,validation,distraction,alert,50
random_forest,facial_only,4,validation,distraction,fatigue,0
random_forest,facial_only,4,validation,distraction,distraction,46
random_forest,facial_only,4,test,alert,alert,797
random_forest,facial_only,4,test,alert,fatigue,0
random_forest,facial_only,4,test,alert,distraction,160
random_forest,facial_only,4,test,fatigue,alert,0
random_forest,facial_only,4,test,fatigue,fatigue,0
