model,ablation,fold,subset,label,precision,recall,f1,support
svm,facial_only,1,validation,alert,0.9047619047619048,0.7495069033530573,0.819848975188781,1014
svm,facial_only,1,validation,fatigue,0.023809523809523808,0.75,0.046153846153846156,4
svm,facial_only,1,validation,distraction,0.35046728971962615,0.46296296296296297,0.39893617021276595,162
svm,facial_only,1,test,alert,0.9605055292259084,0.5588235294117647,0.7065659500290529,1088
svm,facial_only,1,test,fatigue,0.0,0.0,0.0,67
svm,facial_only,1,test,distraction,0.4392638036809816,0.9445910290237467,0.5996649916247906,379
random_forest,facial_only,1,validation,alert,0.8979788257940328,0.9201183431952663,0.9089137847053093,1014
random_forest,facial_only,1,validation,fatigue,0.0,0.0,0.0,4
random_forest,facial_only,1,validation,distraction,0.425531914893617,0.37037037037037035,0.39603960396039606,162
random_forest,facial_only,1,test,alert,0.8439597315436241,0.9246323529411765,0.8824561403508772,1088
random_forest,facial_only,1,test,fatigue,0.0,0.0,0.0,67
random_forest,facial_only,1,test,distraction,0.7076023391812866,0.6385224274406333,0.6712898751733704,379
xgboost,facial_only,1,validation,alert,0.9011328527291452,0.8629191321499013,0.8816120906801007,1014
xgboost,facial_only,1,validation,fatigue,0.0,0.0,0.0,4
xgboost,facial_only,1,validation,distraction,0.345,0.42592592592592593,0.3812154696132597,162
xgboost,facial_only,1,test,alert,0.8631006346328196,0.875,0.8690095846645367,1088
xgboost,facial_only,1,test,fatigue,0.0,0.0,0.0,67
xgboost,facial_only,1,test,distraction,0.633177570093458,0.7150395778364116,0.6716232961586122,379
svm,facial_only,2,validation,alert,0.9450292397660819,0.7481481481481481,0.8351421188630491,1080
svm,facial_only,2,validation,fatigue,0.01834862385321101,0.11764705882352941,0.031746031746031744,17
svm,facial_only,2,validation,distraction,0.17703349282296652,0.4868421052631579,0.2596491228070175,76
svm,facial_only,2,test,alert,0.937584803256445,0.8796944621260344,0.9077175697865353,1571
svm,facial_only,2,test,fatigue,,,,0
svm,facial_only,2,test,distraction,0.6169491525423729,0.621160409556314,0.6190476190476191,293
random_forest,facial_only,2,validation,alert,0.9416909620991254,0.8972222222222223,0.918918918918919,1080
random_forest,facial_only,2,validation,fatigue,0.0,0.0,0.0,17
random_forest,facial_only,2,validation,distraction,0.24087591240875914,0.4342105263157895,0.30985915492957744,76
random_forest,facial_only,2,test,alert,0.9310998735777497,0.9376193507320179,0.934348239771646,1571
random_forest,facial_only,2,test,fatigue,,,,0
random_forest,facial_only,2,test,distraction,0.6571428571428571,0.6279863481228669,0.6422338568935427,293
