model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,candidate_id,parameters
svm,facial_only,1,validation,1180,0.7101694915254237,0.6541566221053401,0.4216463305184644,0.4216463305184644,"[""alert"", ""fatigue"", ""distraction""]",[],1.9350732000002608,False,c8da45025ca6,"{""C"": 10.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}"
svm,facial_only,1,test,1534,0.6297262059973925,0.5011381861451705,0.43541031388461454,0.43541031388461454,"[""alert"", ""fatigue"", ""distraction""]",[],1.9350732000002608,False,c8da45025ca6,"{""C"": 10.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}"
random_forest,facial_only,1,validation,1180,0.8415254237288136,0.4301629045218789,0.4349844628885684,0.4349844628885684,"[""alert"", ""fatigue"", ""distraction""]",[],1.9147953000010602,False,86c07b9f0b9c,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500, ""n_jobs"": -1}"
random_forest,facial_only,1,test,1534,0.8135593220338984,0.5210515934606033,0.5179153385080825,0.5179153385080825,"[""alert"", ""fatigue"", ""distraction""]",[],1.9147953000010602,False,86c07b9f0b9c,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500, ""n_jobs"": -1}"
xgboost,facial_only,1,validation,1180,0.8,0.4296150193586091,0.42094252009778677,0.42094252009778677,"[""alert"", ""fatigue"", ""distraction""]",[],2.310432899999796,False,9ff407e47a79,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,facial_only,1,test,1534,0.7972620599739244,0.5300131926121372,0.5135442936077163,0.5135442936077163,"[""alert"", ""fatigue"", ""distraction""]",[],2.310432899999796,False,9ff407e47a79,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm,facial_only,2,validation,1173,0.722080136402387,0.45087910407827847,0.37551242447203276,0.37551242447203276,"[""alert"", ""fatigue"", ""distraction""]",[],0.38400390000060725,False,9384a3bb8ca8,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}"
svm,facial_only,2,test,1864,0.8390557939914163,0.7504274358411742,0.7633825944170771,0.5089217296113847,"[""alert"", ""distraction""]","[""fatigue""]",0.38400390000060725,False,9384a3bb8ca8,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}"
random_forest,facial_only,2,validation,1173,0.8542199488491049,0.44381091617933727,0.4095926912828321,0.4095926912828321,"[""alert"", ""fatigue"", ""distraction""]",[],1.9188900000008289,False,345dfc61311f,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}"
random_forest,facial_only,2,test,1864,0.8889484978540773,0.7828028494274424,0.7882910483325944,0.525527365555063,"[""alert"", ""distraction""]","[""fatigue""]",1.9188900000008289,False,345dfc61311f,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}"
xgboost,facial_only,2,validation,1173,0.80306905370844,0.4497563352826511,0.3897355445988346,0.3897355445988346,"[""alert"", ""fatigue"", ""distraction""]",[],2.6291150000015477,False,9ff407e47a79,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,facial_only,2,test,1864,0.8766094420600858,0.78381196733456,0.7818213593381569,0.5212142395587712,"[""alert"", ""distraction""]","[""fatigue""]",2.6291150000015477,False,9ff407e47a79,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm,facial_only,3,validation,1151,0.7402258905299739,0.40860200704601257,0.3964160623550885,0.3964160623550885,"[""alert"", ""fatigue"", ""distraction""]",[],0.46242530000017723,False,3f2d5a9c37df,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}"
svm,facial_only,3,test,1500,0.8653333333333333,0.536298492818244,0.48820243754251785,0.48820243754251785,"[""alert"", ""fatigue"", ""distraction""]",[],0.46242530000017723,False,3f2d5a9c37df,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}"
random_forest,facial_only,3,validation,1151,0.8088618592528236,0.40934041493185297,0.40777170613236186,0.40777170613236186,"[""alert"", ""fatigue"", ""distraction""]",[],0.9576485999987199,False,1f3f5b7a1f13,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}"
random_forest,facial_only,3,test,1500,0.8986666666666666,0.45712065001567564,0.45369331606067714,0.45369331606067714,"[""alert"", ""fatigue"", ""distraction""]",[],0.9576485999987199,False,1f3f5b7a1f13,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}"
xgboost,facial_only,3,validation,1151,0.7289313640312771,0.407916978043486,0.3885831975242347,0.3885831975242347,"[""alert"", ""fatigue"", ""distraction""]",[],0.6485892000000604,False,61d28dd004ab,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,facial_only,3,test,1500,0.8786666666666667,0.5208463963493225,0.47542239208905873,0.47542239208905873,"[""alert"", ""fatigue"", ""distraction""]",[],0.6485892000000604,False,61d28dd004ab,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm,facial_only,4,validation,1125,0.7617777777777778,0.43313570487483527,0.4019873462931782,0.4019873462931782,"[""alert"", ""fatigue"", ""distraction""]",[],0.5061499000003096,False,3f2d5a9c37df,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}"
svm,facial_only,4,test,1095,0.6666666666666666,0.5209327154604516,0.5327860363314991,0.3551906908876661,"[""alert"", ""distraction""]","[""fatigue""]",0.5061499000003096,False,3f2d5a9c37df,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}"
random_forest,facial_only,4,validation,1125,0.8391111111111111,0.45550614844093107,0.4254823807115158,0.4254823807115158,"[""alert"", ""fatigue"", ""distraction""]",[],2.1968125000003056,False,b488d33d0ae3,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}"
random_forest,facial_only,4,test,1095,0.7744292237442922,0.6011880423424651,0.5790486981505317,0.3860324654336878,"[""alert"", ""distraction""]","[""fatigue""]",2.1968125000003056,False,b488d33d0ae3,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}"
xgboost,facial_only,4,validation,1125,0.7662222222222222,0.47333953344183527,0.4183378192469413,0.4183378192469413,"[""alert"", ""fatigue"", ""distraction""]",[],0.5757479000003514,False,5019e0e4e655,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
