fold,window_size_frames,subset,label,precision,recall,f1,support
1,30,validation,alert,0.8559463986599665,1.0,0.9223826714801444,1022
1,30,validation,fatigue,0.0,0.0,0.0,7
1,30,validation,distraction,0.0,0.0,0.0,165
1,30,test,alert,0.7087947882736156,1.0,0.8295844452916508,1088
1,30,test,fatigue,0.0,0.0,0.0,68
1,30,test,distraction,0.0,0.0,0.0,379
2,30,validation,alert,0.9164556962025316,1.0,0.9564068692206077,1086
2,30,validation,fatigue,0.0,0.0,0.0,20
2,30,validation,distraction,0.0,0.0,0.0,79
2,30,test,alert,0.8426666666666667,1.0,0.914616497829233,1580
2,30,test,fatigue,,,,0
2,30,test,distraction,0.0,0.0,0.0,295
3,30,validation,alert,0.8575129533678757,1.0,0.9232914923291492,993
3,30,validation,fatigue,0.0,0.0,0.0,13
3,30,validation,distraction,0.0,0.0,0.0,152
3,30,test,alert,0.906146728354263,1.0,0.9507628294036061,1371
3,30,test,fatigue,0.0,0.0,0.0,25
3,30,test,distraction,0.0,0.0,0.0,117
4,30,validation,alert,0.8953386103781882,1.0,0.9447795823665893,1018
4,30,validation,fatigue,0.0,0.0,0.0,20
4,30,validation,distraction,0.0,0.0,0.0,99
4,30,test,alert,0.8687782805429864,1.0,0.9297820823244553,960
4,30,test,fatigue,0.0,0.0,0.0,4
4,30,test,distraction,0.0,0.0,0.0,141
1,60,validation,alert,0.8593220338983051,1.0,0.9243391066545124,1014
1,60,validation,fatigue,0.0,0.0,0.0,4
1,60,validation,distraction,0.0,0.0,0.0,162
1,60,test,alert,0.7092568448500652,1.0,0.8299008390541571,1088
1,60,test,fatigue,0.0,0.0,0.0,67
1,60,test,distraction,0.0,0.0,0.0,379
2,60,validation,alert,0.9207161125319693,1.0,0.9587217043941412,1080
2,60,validation,fatigue,0.0,0.0,0.0,17
2,60,validation,distraction,0.0,0.0,0.0,76
2,60,test,alert,0.8428111587982833,1.0,0.9147016011644833,1571
2,60,test,fatigue,,,,0
2,60,test,distraction,0.0,0.0,0.0,293
3,60,validation,alert,0.8566463944396178,1.0,0.9227889564810482,986
3,60,validation,fatigue,0.0,0.0,0.0,13
3,60,validation,distraction,0.0,0.0,0.0,152
3,60,test,alert,0.9113333333333333,1.0,0.9536100453435647,1367
3,60,test,fatigue,0.0,0.0,0.0,21
3,60,test,distraction,0.0,0.0,0.0,112
4,60,validation,alert,0.8995555555555556,1.0,0.9471221338324755,1012
4,60,validation,fatigue,0.0,0.0,0.0,17
4,60,validation,distraction,0.0,0.0,0.0,96
4,60,test,alert,0.873972602739726,1.0,0.9327485380116959,957
4,60,test,fatigue,,,,0
4,60,test,distraction,0.0,0.0,0.0,138
1,150,validation,alert,0.8649350649350649,1.0,0.9275766016713092,999
1,150,validation,fatigue,0.0,0.0,0.0,1
1,150,validation,distraction,0.0,0.0,0.0,155
1,150,test,alert,0.7133507853403142,1.0,0.8326967150496563,1090
1,150,test,fatigue,0.0,0.0,0.0,62
1,150,test,distraction,0.0,0.0,0.0,376
2,150,validation,alert,0.9258620689655173,1.0,0.9615040286481648,1074
2,150,validation,fatigue,0.0,0.0,0.0,12
2,150,validation,distraction,0.0,0.0,0.0,74
2,150,test,alert,0.8473655621944596,1.0,0.9173772419876507,1560
2,150,test,fatigue,,,,0
2,150,test,distraction,0.0,0.0,0.0,281
3,150,validation,alert,0.8613333333333333,1.0,0.9255014326647565,969
3,150,validation,fatigue,0.0,0.0,0.0,11
3,150,validation,distraction,0.0,0.0,0.0,145
3,150,test,alert,0.9142665773610181,1.0,0.9552134359692093,1365
3,150,test,fatigue,0.0,0.0,0.0,22
3,150,test,distraction,0.0,0.0,0.0,106
4,150,validation,alert,0.9067873303167421,1.0,0.9511153298528714,1002
4,150,validation,fatigue,0.0,0.0,0.0,12
4,150,validation,distraction,0.0,0.0,0.0,91
4,150,test,alert,0.879182156133829,1.0,0.9357072205736894,946
4,150,test,fatigue,,,,0
4,150,test,distraction,0.0,0.0,0.0,130
