scope,phase,model,representation,window_size_frames,status,runs,folds,seeds
confirmation,confirmation,lstm,R0,60.0,blocked,20,4,5
confirmation,confirmation,svm,R0_flat,60.0,blocked,4,4,1
historical,historical,fixed_rules,R0_flat,30.0,reused,4,4,1
historical,historical,fixed_rules,R0_flat,60.0,reused,4,4,1
historical,historical,fixed_rules,R0_flat,150.0,reused,4,4,1
historical,historical,lstm,R0,30.0,reused,4,4,1
historical,historical,lstm,R0,60.0,reused,24,4,1
historical,historical,lstm,R0,150.0,reused,4,4,1
historical,historical,lstm,R1,60.0,reused,4,4,1
historical,historical,lstm,R2,60.0,reused,4,4,1
historical,historical,random_forest,R0_flat,30.0,reused,4,4,1
historical,historical,random_forest,R0_flat,60.0,reused,4,4,1
historical,historical,random_forest,R0_flat,150.0,reused,4,4,1
historical,historical,svm,R0,60.0,reused,16,4,1
historical,historical,svm,R0_flat,30.0,reused,4,4,1
historical,historical,svm,R0_flat,60.0,reused,4,4,1
historical,historical,svm,R0_flat,150.0,reused,4,4,1
historical,historical,tcn,R0,30.0,reused,4,4,1
historical,historical,tcn,R0,60.0,reused,20,4,1
historical,historical,tcn,R0,150.0,reused,4,4,1
historical,historical,tcn,R1,60.0,reused,4,4,1
historical,historical,tcn,R2,60.0,reused,4,4,1
historical,historical,transformer,R0,30.0,reused,4,4,1
historical,historical,transformer,R0,60.0,reused,4,4,1
historical,historical,transformer,R0,150.0,reused,16,4,1
historical,historical,transformer,R1,150.0,reused,4,4,1
historical,historical,transformer,R2,150.0,reused,4,4,1
historical,historical,xgboost,R0_flat,30.0,reused,4,4,1
historical,historical,xgboost,R0_flat,60.0,reused,4,4,1
historical,historical,xgboost,R0_flat,150.0,reused,4,4,1
historical,historical,,,,reused,6,0,0
screening,screening,knn_dtw,R0,60.0,blocked,4,4,1
screening,screening,logistic_regression,R0_flat,30.0,skipped,4,4,1
screening,screening,logistic_regression,R0_flat,60.0,skipped,4,4,1
screening,screening,logistic_regression,R0_flat,150.0,skipped,4,4,1
screening,screening,logistic_regression,historical_r3,30.0,skipped,4,4,1
screening,screening,logistic_regression,historical_r3,60.0,skipped,4,4,1
screening,screening,logistic_regression,historical_r3,150.0,skipped,4,4,1
screening,screening,logistic_regression,temporal_behavior_v1,60.0,completed,4,4,1
screening,screening,minirocket_ridge,R0,30.0,completed,4,4,1
screening,screening,minirocket_ridge,R0,60.0,completed,4,4,1
screening,screening,minirocket_ridge,R0,150.0,completed,4,4,1
screening,screening,random_forest,temporal_behavior_v1,60.0,completed,4,4,1
screening,screening,random_shapelet_ridge,R0,60.0,completed,4,4,1
screening,screening,svm,temporal_behavior_v1,60.0,completed,4,4,1
screening,screening,xgboost,temporal_behavior_v1,60.0,completed,4,4,1
