video_id,label,total_frames,missing_frames,missing_rate
dataset,alert,75064,7725,0.10291218160503038
dataset,distraction,14081,8718,0.6191321639088133
dataset,fatigue,1488,598,0.4018817204301075
video_01,alert,16280,1597,0.0980958230958231
video_01,distraction,5695,4256,0.7473222124670764
video_01,fatigue,1027,546,0.5316455696202531
video_02,alert,23738,1793,0.07553290083410566
video_02,distraction,4462,2805,0.628641864634693
video_03,alert,20624,1688,0.08184639255236617
video_03,distraction,1785,946,0.5299719887955182
video_03,fatigue,391,52,0.1329923273657289
video_04,alert,14422,2647,0.18353903758147275
video_04,distraction,2139,711,0.332398316970547
video_04,fatigue,70,0,0.0
