fold,subset,video_id,window_size_frames,label,num_windows,total_window_frames,missing_frames,mean_missing_rate,fully_observed_windows,fully_missing_windows
,all,dataset,30,alert,4999,149970,15513,0.10344068813762752,4252,336
,all,dataset,30,distraction,932,27960,17372,0.6213161659513591,269,458
,all,dataset,30,fatigue,97,2910,1184,0.406872852233677,40,25
,all,dataset,30,mixed,2123,63690,59254,0.9303501334589418,120,1937
,all,dataset,60,alert,4983,298980,30968,0.10357883470466252,4098,260
,all,dataset,60,distraction,922,55320,34660,0.6265365148228489,226,384
,all,dataset,60,fatigue,88,5280,2311,0.43768939393939393,23,16
,all,dataset,60,mixed,2150,129000,118634,0.9196434108527132,123,1914
,all,dataset,150,alert,4961,744150,78805,0.10589934824968085,3752,178
,all,dataset,150,distraction,893,133950,85290,0.6367301231802912,150,258
,all,dataset,150,fatigue,84,12600,5832,0.46285714285714286,11,2
,all,dataset,150,mixed,2181,327150,295972,0.9046981506953997,107,1866
,all,video_01,30,alert,1088,32640,3277,0.1003982843137255,936,69
,all,video_01,30,distraction,379,11370,8499,0.7474934036939314,59,216
,all,video_01,30,fatigue,68,2040,1083,0.5308823529411765,19,24
,all,video_01,30,mixed,598,17940,14679,0.8182274247491639,89,464
,all,video_01,60,alert,1088,65280,6725,0.10301776960784313,905,58
,all,video_01,60,distraction,379,22740,17000,0.7475813544415127,47,175
,all,video_01,60,fatigue,67,4020,2104,0.5233830845771145,15,16
,all,video_01,60,mixed,597,35820,29241,0.8163316582914573,77,446
,all,video_01,150,alert,1090,163500,18084,0.11060550458715597,832,44
,all,video_01,150,distraction,376,56400,42260,0.749290780141844,23,100
,all,video_01,150,fatigue,62,9300,4984,0.5359139784946236,11,2
,all,video_01,150,mixed,597,89550,72298,0.8073478503629258,46,414
,all,video_02,30,alert,1580,47400,3572,0.07535864978902954,1412,83
,all,video_02,30,distraction,295,8850,5595,0.6322033898305085,96,167
,all,video_02,30,mixed,4,120,29,0.24166666666666667,3,0
,all,video_02,60,alert,1571,94260,7041,0.07469764481222152,1367,59
,all,video_02,60,distraction,293,17580,11168,0.6352673492605233,90,154
,all,video_02,60,mixed,13,780,183,0.23461538461538461,7,1
,all,video_02,150,alert,1560,234000,17441,0.07453418803418803,1283,35
,all,video_02,150,distraction,281,42150,27426,0.6506761565836299,65,132
,all,video_02,150,mixed,30,4500,1113,0.24733333333333332,18,2
,all,video_03,30,alert,1371,41130,3349,0.08142475079017748,1193,71
,all,video_03,30,distraction,117,3510,1869,0.5324786324786325,34,45
,all,video_03,30,fatigue,25,750,101,0.13466666666666666,17,1
,all,video_03,30,mixed,508,15240,14413,0.945734908136483,22,473
,all,video_03,60,alert,1367,82020,6645,0.081016825164594,1158,63
,all,video_03,60,distraction,112,6720,3689,0.5489583333333333,21,35
,all,video_03,60,fatigue,21,1260,207,0.16428571428571428,8,0
,all,video_03,60,mixed,519,31140,28921,0.9287411689145794,27,468
,all,video_03,150,alert,1365,204750,16540,0.08078144078144078,1081,53
,all,video_03,150,distraction,106,15900,8771,0.5516352201257861,9,18
,all,video_03,150,fatigue,22,3300,848,0.25696969696969696,0,0
,all,video_03,150,mixed,520,78000,72376,0.9278974358974359,16,458
,all,video_04,30,alert,960,28800,5315,0.18454861111111112,711,113
,all,video_04,30,distraction,141,4230,1409,0.33309692671394797,80,30
,all,video_04,30,fatigue,4,120,0,0.0,4,0
,all,video_04,30,mixed,1013,30390,30133,0.9915432708127674,6,1000
,all,video_04,60,alert,957,57420,10557,0.18385579937304075,668,80
,all,video_04,60,distraction,138,8280,2803,0.33852657004830916,68,20
,all,video_04,60,mixed,1021,61260,60289,0.9841495266079008,12,999
,all,video_04,150,alert,946,141900,26740,0.18844256518675123,556,46
,all,video_04,150,distraction,130,19500,6833,0.3504102564102564,53,8
,all,video_04,150,mixed,1034,155100,150185,0.9683107672469374,27,992
