model,ablation,fold,subset,actual,predicted,count,preprocessing,window_size_frames,num_features
svm,all_features,1,validation,alert,alert,735,zero_fill_baseline,30,14
svm,all_features,1,validation,alert,fatigue,105,zero_fill_baseline,30,14
svm,all_features,1,validation,alert,distraction,182,zero_fill_baseline,30,14
svm,all_features,1,validation,fatigue,alert,0,zero_fill_baseline,30,14
svm,all_features,1,validation,fatigue,fatigue,5,zero_fill_baseline,30,14
svm,all_features,1,validation,fatigue,distraction,2,zero_fill_baseline,30,14
svm,all_features,1,validation,distraction,alert,75,zero_fill_baseline,30,14
svm,all_features,1,validation,distraction,fatigue,10,zero_fill_baseline,30,14
svm,all_features,1,validation,distraction,distraction,80,zero_fill_baseline,30,14
svm,all_features,1,test,alert,alert,770,zero_fill_baseline,30,14
svm,all_features,1,test,alert,fatigue,117,zero_fill_baseline,30,14
svm,all_features,1,test,alert,distraction,201,zero_fill_baseline,30,14
svm,all_features,1,test,fatigue,alert,27,zero_fill_baseline,30,14
svm,all_features,1,test,fatigue,fatigue,5,zero_fill_baseline,30,14
svm,all_features,1,test,fatigue,distraction,36,zero_fill_baseline,30,14
svm,all_features,1,test,distraction,alert,72,zero_fill_baseline,30,14
svm,all_features,1,test,distraction,fatigue,23,zero_fill_baseline,30,14
svm,all_features,1,test,distraction,distraction,284,zero_fill_baseline,30,14
random_forest,all_features,1,validation,alert,alert,923,zero_fill_baseline,30,14
random_forest,all_features,1,validation,alert,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,1,validation,alert,distraction,99,zero_fill_baseline,30,14
random_forest,all_features,1,validation,fatigue,alert,7,zero_fill_baseline,30,14
random_forest,all_features,1,validation,fatigue,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,1,validation,fatigue,distraction,0,zero_fill_baseline,30,14
random_forest,all_features,1,validation,distraction,alert,106,zero_fill_baseline,30,14
random_forest,all_features,1,validation,distraction,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,1,validation,distraction,distraction,59,zero_fill_baseline,30,14
random_forest,all_features,1,test,alert,alert,1007,zero_fill_baseline,30,14
random_forest,all_features,1,test,alert,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,1,test,alert,distraction,81,zero_fill_baseline,30,14
random_forest,all_features,1,test,fatigue,alert,43,zero_fill_baseline,30,14
random_forest,all_features,1,test,fatigue,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,1,test,fatigue,distraction,25,zero_fill_baseline,30,14
random_forest,all_features,1,test,distraction,alert,136,zero_fill_baseline,30,14
random_forest,all_features,1,test,distraction,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,1,test,distraction,distraction,243,zero_fill_baseline,30,14
xgboost,all_features,1,validation,alert,alert,842,zero_fill_baseline,30,14
xgboost,all_features,1,validation,alert,fatigue,6,zero_fill_baseline,30,14
xgboost,all_features,1,validation,alert,distraction,174,zero_fill_baseline,30,14
xgboost,all_features,1,validation,fatigue,alert,5,zero_fill_baseline,30,14
xgboost,all_features,1,validation,fatigue,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,1,validation,fatigue,distraction,2,zero_fill_baseline,30,14
xgboost,all_features,1,validation,distraction,alert,92,zero_fill_baseline,30,14
xgboost,all_features,1,validation,distraction,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,1,validation,distraction,distraction,73,zero_fill_baseline,30,14
xgboost,all_features,1,test,alert,alert,911,zero_fill_baseline,30,14
xgboost,all_features,1,test,alert,fatigue,30,zero_fill_baseline,30,14
xgboost,all_features,1,test,alert,distraction,147,zero_fill_baseline,30,14
xgboost,all_features,1,test,fatigue,alert,40,zero_fill_baseline,30,14
xgboost,all_features,1,test,fatigue,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,1,test,fatigue,distraction,28,zero_fill_baseline,30,14
xgboost,all_features,1,test,distraction,alert,84,zero_fill_baseline,30,14
xgboost,all_features,1,test,distraction,fatigue,4,zero_fill_baseline,30,14
xgboost,all_features,1,test,distraction,distraction,291,zero_fill_baseline,30,14
svm,all_features,2,validation,alert,alert,853,zero_fill_baseline,30,14
svm,all_features,2,validation,alert,fatigue,83,zero_fill_baseline,30,14
svm,all_features,2,validation,alert,distraction,150,zero_fill_baseline,30,14
svm,all_features,2,validation,fatigue,alert,16,zero_fill_baseline,30,14
svm,all_features,2,validation,fatigue,fatigue,3,zero_fill_baseline,30,14
svm,all_features,2,validation,fatigue,distraction,1,zero_fill_baseline,30,14
