model,ablation,fold,subset,label,precision,recall,f1,support,preprocessing,window_size_frames,num_features
svm,all_features,1,validation,alert,0.9074074074074074,0.7191780821917808,0.8024017467248908,1022,zero_fill_baseline,30,14
svm,all_features,1,validation,fatigue,0.041666666666666664,0.7142857142857143,0.07874015748031496,7,zero_fill_baseline,30,14
svm,all_features,1,validation,distraction,0.30303030303030304,0.48484848484848486,0.372960372960373,165,zero_fill_baseline,30,14
svm,all_features,1,test,alert,0.8860759493670886,0.7077205882352942,0.7869187531936638,1088,zero_fill_baseline,30,14
svm,all_features,1,test,fatigue,0.034482758620689655,0.07352941176470588,0.046948356807511735,68,zero_fill_baseline,30,14
svm,all_features,1,test,distraction,0.54510556621881,0.7493403693931399,0.6311111111111111,379,zero_fill_baseline,30,14
random_forest,all_features,1,validation,alert,0.890926640926641,0.9031311154598826,0.8969873663751214,1022,zero_fill_baseline,30,14
random_forest,all_features,1,validation,fatigue,0.0,0.0,0.0,7,zero_fill_baseline,30,14
random_forest,all_features,1,validation,distraction,0.37341772151898733,0.3575757575757576,0.3653250773993808,165,zero_fill_baseline,30,14
random_forest,all_features,1,test,alert,0.8490725126475548,0.9255514705882353,0.8856640281442393,1088,zero_fill_baseline,30,14
random_forest,all_features,1,test,fatigue,0.0,0.0,0.0,68,zero_fill_baseline,30,14
random_forest,all_features,1,test,distraction,0.6962750716332379,0.6411609498680739,0.6675824175824175,379,zero_fill_baseline,30,14
xgboost,all_features,1,validation,alert,0.8966986155484558,0.8238747553816047,0.858745537990821,1022,zero_fill_baseline,30,14
xgboost,all_features,1,validation,fatigue,0.0,0.0,0.0,7,zero_fill_baseline,30,14
xgboost,all_features,1,validation,distraction,0.2931726907630522,0.44242424242424244,0.3526570048309179,165,zero_fill_baseline,30,14
xgboost,all_features,1,test,alert,0.8801932367149758,0.8373161764705882,0.8582195007065473,1088,zero_fill_baseline,30,14
xgboost,all_features,1,test,fatigue,0.0,0.0,0.0,68,zero_fill_baseline,30,14
xgboost,all_features,1,test,distraction,0.6244635193133047,0.7678100263852242,0.6887573964497041,379,zero_fill_baseline,30,14
svm,all_features,2,validation,alert,0.9394273127753304,0.785451197053407,0.8555667001003009,1086,zero_fill_baseline,30,14
svm,all_features,2,validation,fatigue,0.033707865168539325,0.15,0.05504587155963303,20,zero_fill_baseline,30,14
svm,all_features,2,validation,distraction,0.19680851063829788,0.46835443037974683,0.27715355805243447,79,zero_fill_baseline,30,14
svm,all_features,2,test,alert,0.9348837209302325,0.890506329113924,0.9121555915721232,1580,zero_fill_baseline,30,14
svm,all_features,2,test,fatigue,,,,0,zero_fill_baseline,30,14
svm,all_features,2,test,distraction,0.6045016077170418,0.6372881355932203,0.6204620462046204,295,zero_fill_baseline,30,14
random_forest,all_features,2,validation,alert,0.9319526627218935,0.8701657458563536,0.9,1086,zero_fill_baseline,30,14
random_forest,all_features,2,validation,fatigue,0.0,0.0,0.0,20,zero_fill_baseline,30,14
