model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,preprocessing,window_size_frames,num_features
svm,all_features,1,validation,1194,0.6867671691792295,0.63943742710866,0.41803409238852623,0.41803409238852623,"[""alert"", ""fatigue"", ""distraction""]",[],0.4088318000012805,True,zero_fill_baseline,30,14
svm,all_features,1,test,1535,0.6899022801302932,0.5101967897977132,0.48832607370409553,0.48832607370409553,"[""alert"", ""fatigue"", ""distraction""]",[],0.4088318000012805,True,zero_fill_baseline,30,14
random_forest,all_features,1,validation,1194,0.8224455611390284,0.4202356243452134,0.42077081459150073,0.42077081459150073,"[""alert"", ""fatigue"", ""distraction""]",[],1.0888935000002675,True,zero_fill_baseline,30,14
random_forest,all_features,1,test,1535,0.8143322475570033,0.5222374734854364,0.5177488152422189,0.5177488152422189,"[""alert"", ""fatigue"", ""distraction""]",[],1.0888935000002675,True,zero_fill_baseline,30,14
xgboost,all_features,1,validation,1194,0.7663316582914573,0.4220996659352824,0.40380084760724627,0.40380084760724627,"[""alert"", ""fatigue"", ""distraction""]",[],4.74886399999923,True,zero_fill_baseline,30,14
xgboost,all_features,1,test,1535,0.7830618892508143,0.5350420676186042,0.5156589657187505,0.5156589657187505,"[""alert"", ""fatigue"", ""distraction""]",[],4.74886399999923,True,zero_fill_baseline,30,14
svm,all_features,2,validation,1185,0.7535864978902953,0.46793520914438463,0.3959220432374561,0.3959220432374561,"[""alert"", ""fatigue"", ""distraction""]",[],0.2806524999996327,True,zero_fill_baseline,30,14
svm,all_features,2,test,1875,0.8506666666666667,0.7638972323535722,0.7663088188883718,0.5108725459255812,"[""alert"", ""distraction""]","[""fatigue""]",0.2806524999996327,True,zero_fill_baseline,30,14
random_forest,all_features,2,validation,1185,0.8227848101265823,0.41663752709979723,0.38032128514056224,0.38032128514056224,"[""alert"", ""fatigue"", ""distraction""]",[],1.0058876000002783,True,zero_fill_baseline,30,14
random_forest,all_features,2,test,1875,0.8816,0.7850085818493886,0.781406183820415,0.5209374558802767,"[""alert"", ""distraction""]","[""fatigue""]",1.0058876000002783,True,zero_fill_baseline,30,14
xgboost,all_features,2,validation,1185,0.790717299578059,0.4206238198475418,0.37208990913438544,0.37208990913438544,"[""alert"", ""fatigue"", ""distraction""]",[],5.3838801000001695,True,zero_fill_baseline,30,14
xgboost,all_features,2,test,1875,0.8698666666666667,0.7794250160909676,0.7700089918741635,0.513339327916109,"[""alert"", ""distraction""]","[""fatigue""]",5.3838801000001695,True,zero_fill_baseline,30,14
svm,all_features,3,validation,1158,0.7461139896373057,0.40518277062242714,0.3912292560468545,0.3912292560468545,"[""alert"", ""fatigue"", ""distraction""]",[],0.32217380000111007,True,zero_fill_baseline,30,14
svm,all_features,3,test,1513,0.8585591539986781,0.4956938288229317,0.4605799617395732,0.4605799617395732,"[""alert"", ""fatigue"", ""distraction""]",[],0.32217380000111007,True,zero_fill_baseline,30,14
random_forest,all_features,3,validation,1158,0.7875647668393783,0.4082944647621067,0.398396501457726,0.398396501457726,"[""alert"", ""fatigue"", ""distraction""]",[],1.0512668999999732,True,zero_fill_baseline,30,14
random_forest,all_features,3,test,1513,0.8889623265036352,0.4677289644466887,0.4554899670715125,0.4554899670715125,"[""alert"", ""fatigue"", ""distraction""]",[],1.0512668999999732,True,zero_fill_baseline,30,14
xgboost,all_features,3,validation,1158,0.7538860103626943,0.4100612179996819,0.39228961207721796,0.39228961207721796,"[""alert"", ""fatigue"", ""distraction""]",[],1.7299887000008312,True,zero_fill_baseline,30,14
xgboost,all_features,3,test,1513,0.8671513549239921,0.4857643369678381,0.45164700919556505,0.45164700919556505,"[""alert"", ""fatigue"", ""distraction""]",[],1.7299887000008312,True,zero_fill_baseline,30,14
svm,all_features,4,validation,1137,0.7273526824978013,0.48622935312522736,0.404643078307884,0.404643078307884,"[""alert"", ""fatigue"", ""distraction""]",[],0.3122013000011066,True,zero_fill_baseline,30,14
svm,all_features,4,test,1105,0.6389140271493212,0.33993055555555557,0.34100684261974584,0.34100684261974584,"[""alert"", ""fatigue"", ""distraction""]",[],0.3122013000011066,True,zero_fill_baseline,30,14
random_forest,all_features,4,validation,1137,0.8240985048372911,0.4557493732346385,0.41698350963965236,0.41698350963965236,"[""alert"", ""fatigue"", ""distraction""]",[],1.1660453000004054,True,zero_fill_baseline,30,14
random_forest,all_features,4,test,1105,0.7447963800904978,0.384589243498818,0.36907832422586523,0.36907832422586523,"[""alert"", ""fatigue"", ""distraction""]",[],1.1660453000004054,True,zero_fill_baseline,30,14
xgboost,all_features,4,validation,1137,0.7854001759014951,0.4413420385915474,0.3945649242760336,0.3945649242760336,"[""alert"", ""fatigue"", ""distraction""]",[],4.822607100000823,True,zero_fill_baseline,30,14
xgboost,all_features,4,test,1105,0.718552036199095,0.38662086288416075,0.36547671203903737,0.36547671203903737,"[""alert"", ""fatigue"", ""distraction""]",[],4.822607100000823,True,zero_fill_baseline,30,14
svm,all_features,1,validation,1194,0.6708542713567839,0.523408250805511,0.39066085017565105,0.39066085017565105,"[""alert"", ""fatigue"", ""distraction""]",[],0.3801672999998118,True,short_gap_interpolation,30,14
svm,all_features,1,test,1535,0.7127035830618893,0.5128749223963992,0.48922344223228614,0.48922344223228614,"[""alert"", ""fatigue"", ""distraction""]",[],0.3801672999998118,True,short_gap_interpolation,30,14
random_forest,all_features,1,validation,1194,0.8316582914572864,0.41874122833026944,0.42304853400530223,0.42304853400530223,"[""alert"", ""fatigue"", ""distraction""]",[],1.0738790000013978,True,short_gap_interpolation,30,14
random_forest,all_features,1,test,1535,0.8175895765472313,0.5260618759377101,0.5208132788432419,0.5208132788432419,"[""alert"", ""fatigue"", ""distraction""]",[],1.0738790000013978,True,short_gap_interpolation,30,14
xgboost,all_features,1,validation,1194,0.7755443886097152,0.4138290932811481,0.40194345336381043,0.40194345336381043,"[""alert"", ""fatigue"", ""distraction""]",[],3.9996086999999534,True,short_gap_interpolation,30,14
xgboost,all_features,1,test,1535,0.7811074918566775,0.5249527911428423,0.5052815937014682,0.5052815937014682,"[""alert"", ""fatigue"", ""distraction""]",[],3.9996086999999534,True,short_gap_interpolation,30,14
svm,all_features,2,validation,1185,0.7561181434599156,0.4813032768414263,0.39984773762362896,0.39984773762362896,"[""alert"", ""fatigue"", ""distraction""]",[],0.26376779999918654,True,short_gap_interpolation,30,14
svm,all_features,2,test,1875,0.8512,0.7545644711435314,0.758412954594362,0.5056086363962413,"[""alert"", ""distraction""]","[""fatigue""]",0.26376779999918654,True,short_gap_interpolation,30,14
random_forest,all_features,2,validation,1185,0.8236286919831224,0.40520704633579663,0.37464911007647345,0.37464911007647345,"[""alert"", ""fatigue"", ""distraction""]",[],1.0766034999996918,True,short_gap_interpolation,30,14
random_forest,all_features,2,test,1875,0.8848,0.785528856468569,0.7844978487935932,0.5229985658623955,"[""alert"", ""distraction""]","[""fatigue""]",1.0766034999996918,True,short_gap_interpolation,30,14
xgboost,all_features,2,validation,1185,0.8025316455696202,0.4249209346418941,0.37774133565067886,0.37774133565067886,"[""alert"", ""fatigue"", ""distraction""]",[],5.66852949999884,True,short_gap_interpolation,30,14
xgboost,all_features,2,test,1875,0.8789333333333333,0.7861832224844454,0.7796314615784443,0.5197543077189629,"[""alert"", ""distraction""]","[""fatigue""]",5.66852949999884,True,short_gap_interpolation,30,14
svm,all_features,3,validation,1158,0.7495682210708118,0.3972390063779792,0.38692648691394077,0.38692648691394077,"[""alert"", ""fatigue"", ""distraction""]",[],0.29269139999996696,True,short_gap_interpolation,30,14
svm,all_features,3,test,1513,0.8697951090548579,0.4972211935888085,0.4709701223054339,0.4709701223054339,"[""alert"", ""fatigue"", ""distraction""]",[],0.29269139999996696,True,short_gap_interpolation,30,14
random_forest,all_features,3,validation,1158,0.7918825561312608,0.41183017967880425,0.4028632260929765,0.4028632260929765,"[""alert"", ""fatigue"", ""distraction""]",[],1.0894537000003766,True,short_gap_interpolation,30,14
random_forest,all_features,3,test,1513,0.8863185723727693,0.46415056699520596,0.45125934811895135,0.45125934811895135,"[""alert"", ""fatigue"", ""distraction""]",[],1.0894537000003766,True,short_gap_interpolation,30,14
xgboost,all_features,3,validation,1158,0.7607944732297064,0.40717478489779335,0.3917496801484998,0.3917496801484998,"[""alert"", ""fatigue"", ""distraction""]",[],2.4872543000001315,True,short_gap_interpolation,30,14
xgboost,all_features,3,test,1513,0.8625247851949769,0.4788506735990325,0.44225365712354564,0.44225365712354564,"[""alert"", ""fatigue"", ""distraction""]",[],2.4872543000001315,True,short_gap_interpolation,30,14
svm,all_features,4,validation,1137,0.7431838170624451,0.4697049076223929,0.40535155528604955,0.40535155528604955,"[""alert"", ""fatigue"", ""distraction""]",[],0.34046670000134327,True,short_gap_interpolation,30,14
svm,all_features,4,test,1105,0.665158371040724,0.36210106382978724,0.34935467312252794,0.34935467312252794,"[""alert"", ""fatigue"", ""distraction""]",[],0.34046670000134327,True,short_gap_interpolation,30,14
random_forest,all_features,4,validation,1137,0.8311345646437994,0.45532932468099463,0.4206624309184556,0.4206624309184556,"[""alert"", ""fatigue"", ""distraction""]",[],1.2933133999995334,True,short_gap_interpolation,30,14
random_forest,all_features,4,test,1105,0.7438914027149321,0.386258865248227,0.369883841148209,0.369883841148209,"[""alert"", ""fatigue"", ""distraction""]",[],1.2933133999995334,True,short_gap_interpolation,30,14
xgboost,all_features,4,validation,1137,0.7871591908531222,0.43895735349566395,0.39468343348322654,0.39468343348322654,"[""alert"", ""fatigue"", ""distraction""]",[],4.576862899999469,True,short_gap_interpolation,30,14
