fold,subset,window_size_frames,label,num_windows
1,test,30,alert,1088
1,test,30,distraction,379
1,test,30,fatigue,68
1,test,30,mixed,598
1,test,60,alert,1088
1,test,60,distraction,379
1,test,60,fatigue,67
1,test,60,mixed,597
1,test,150,alert,1090
1,test,150,distraction,376
1,test,150,fatigue,62
1,test,150,mixed,597
1,train,30,alert,2929
1,train,30,distraction,334
1,train,30,fatigue,4
1,train,30,mixed,1516
1,train,60,alert,2918
1,train,60,distraction,328
1,train,60,mixed,1531
1,train,150,alert,2896
1,train,150,distraction,311
1,train,150,mixed,1552
1,validation,30,alert,947
1,validation,30,distraction,219
1,validation,30,fatigue,25
1,validation,30,mixed,9
1,validation,60,alert,936
1,validation,60,distraction,215
1,validation,60,fatigue,21
1,validation,60,mixed,22
1,validation,150,alert,916
1,validation,150,distraction,206
1,validation,150,fatigue,22
1,validation,150,mixed,32
2,test,30,alert,1580
2,test,30,distraction,295
2,test,30,mixed,4
2,test,60,alert,1571
2,test,60,distraction,293
2,test,60,mixed,13
2,test,150,alert,1560
2,test,150,distraction,281
2,test,150,mixed,30
2,train,30,alert,2530
2,train,30,distraction,504
2,train,30,fatigue,72
2,train,30,mixed,1880
2,train,60,alert,2525
2,train,60,distraction,500
2,train,60,fatigue,67
2,train,60,mixed,1888
2,train,150,alert,2506
2,train,150,distraction,487
2,train,150,fatigue,62
2,train,150,mixed,1907
2,validation,30,alert,865
2,validation,30,distraction,133
2,validation,30,fatigue,25
2,validation,30,mixed,227
2,validation,60,alert,859
2,validation,60,distraction,129
2,validation,60,fatigue,21
2,validation,60,mixed,235
2,validation,150,alert,855
2,validation,150,distraction,125
2,validation,150,fatigue,22
2,validation,150,mixed,224
3,test,30,alert,1371
3,test,30,distraction,117
3,test,30,fatigue,25
3,test,30,mixed,508
3,test,60,alert,1367
3,test,60,distraction,112
3,test,60,fatigue,21
3,test,60,mixed,519
3,test,150,alert,1365
3,test,150,distraction,106
3,test,150,fatigue,22
3,test,150,mixed,520
3,train,30,alert,2758
3,train,30,distraction,663
3,train,30,fatigue,72
3,train,30,mixed,1380
3,train,60,alert,2746
3,train,60,distraction,658
3,train,60,fatigue,67
3,train,60,mixed,1396
3,train,150,alert,2724
3,train,150,distraction,642
3,train,150,fatigue,62
3,train,150,mixed,1421
3,validation,30,alert,847
3,validation,30,distraction,152
3,validation,30,mixed,223
3,validation,60,alert,843
3,validation,60,distraction,152
3,validation,60,mixed,221
3,validation,150,alert,833
3,validation,150,distraction,145
3,validation,150,mixed,220
4,test,30,alert,960
4,test,30,distraction,141
4,test,30,fatigue,4
4,test,30,mixed,1013
4,test,60,alert,957
4,test,60,distraction,138
4,test,60,mixed,1021
4,test,150,alert,946
4,test,150,distraction,130
4,test,150,mixed,1034
4,train,30,alert,3219
4,train,30,distraction,638
4,train,30,fatigue,68
4,train,30,mixed,870
4,train,60,alert,3208
4,train,60,distraction,635
4,train,60,fatigue,67
4,train,60,mixed,879
4,train,150,alert,3193
4,train,150,distraction,621
4,train,150,fatigue,62
4,train,150,mixed,895
4,validation,30,alert,797
4,validation,30,distraction,153
4,validation,30,fatigue,25
4,validation,30,mixed,228
4,validation,60,alert,791
4,validation,60,distraction,149
4,validation,60,fatigue,21
4,validation,60,mixed,236
4,validation,150,alert,783
4,validation,150,distraction,142
4,validation,150,fatigue,22
4,validation,150,mixed,232
