trial,method,noise_sigma_px,pitch,yaw,roll,rmse_px,min_depth,all_positive_depth
0,iterative,0.01,36.790581610702674,-164.2143338588998,-174.05537259032351,3.113787545981525,-0.9574258553656213,False
0,sqpnp,0.01,39.89588409198884,37.721808035580054,-129.062987611228,3.829794874176044,0.8331568360279012,True
1,iterative,0.01,36.787689472461,-164.20337392914143,-174.0594823019728,3.1237178350426014,-0.9576695801784834,False
1,sqpnp,0.01,39.78801809497444,37.67209803703227,-129.04930872322095,3.84763079209853,0.8333904565816744,True
2,iterative,0.01,36.7943325788972,-164.22021157153665,-174.0990704453967,3.123267992581922,-0.9575373399986242,False
2,sqpnp,0.01,39.95015696950095,37.76474245924182,-129.07934574198728,3.832845742025224,0.8331361357688754,True
3,iterative,0.01,36.828483219336924,-164.22901070586562,-174.10882662762145,3.1147742800841733,-0.9576389569650774,False
3,sqpnp,0.01,39.85183460823643,37.69214235543579,-129.08820725085,3.8380906634709286,0.8335437795722775,True
4,iterative,0.01,36.81140370687987,-164.23926078571552,-174.10356686741358,3.1167493631506056,-0.9575422778807277,False
4,sqpnp,0.01,39.79374871963344,37.64500071050966,-129.05699942351657,3.8494382550186037,0.833354793039156,True
5,iterative,0.01,36.84758045230844,-164.23865359995483,-174.11276160913891,3.1228487413175605,-0.9577108283916073,False
5,sqpnp,0.01,39.89246797098342,37.71966956179774,-129.05901542496534,3.844947674204553,0.8334042504656223,True
6,iterative,0.01,37.46995658831634,-164.05887368568392,-174.16503193187503,3.1591961164511257,-0.9417652494224724,False
6,sqpnp,0.01,39.87693400075194,37.714244777605245,-129.0647640195344,3.8403191464653537,0.8333149776404362,True
7,iterative,0.01,36.82491176486788,-164.2300966750307,-174.11614307409815,3.1256012262953963,-0.95773258427647,False
7,sqpnp,0.01,39.814307000959985,37.67965740323048,-129.0551190836827,3.853700754090585,0.8334401046258479,True
8,iterative,0.01,31.795212880434093,65.53651687453029,-83.02695509754989,681.8711320709623,-0.08272555980127697,False
8,sqpnp,0.01,39.8883494306991,37.724144367065726,-129.04853272580473,3.842305721041437,0.8334801606976546,True
9,iterative,0.01,36.806178063958164,-164.22790829016233,-174.08794251425127,3.112303192695442,-0.9574772963977152,False
9,sqpnp,0.01,39.801652023956734,37.6565303437621,-129.06374010288133,3.8420413217059717,0.8333595602364441,True
10,iterative,0.01,7.908111929952422,-163.46260837738305,-171.0654515479584,13.875963404968196,-2.1934550862542093,False
10,sqpnp,0.01,39.92507129956226,37.737728949003895,-129.08423296143502,3.840022321555732,0.833203174151914,True
11,iterative,0.01,36.780551796161305,-164.18414614853012,-174.08642880576514,3.119229626597753,-0.9579957634548535,False
11,sqpnp,0.01,39.80351312776124,37.709456183771174,-129.05419820775717,3.8436617569277605,0.83365977308467,True
12,iterative,0.01,-38.755933703982016,-154.77521962176417,-128.56090302039593,19.01394711419024,-2.451696759675337,False
12,sqpnp,0.01,39.9520353949083,37.765968197857696,-129.0890761007412,3.833274649779972,0.8332308983102538,True
13,iterative,0.01,12.380580193023484,152.99732158460168,149.12902130073797,21.812510223831623,-6.132390854677173,False
13,sqpnp,0.01,39.781251539260886,37.66073549659287,-129.07057287301794,3.8451567688387582,0.8334107031453756,True
14,iterative,0.01,31.805514721948253,65.77655950761104,-83.02458314097174,681.88738028255,-0.08273574475842822,False
14,sqpnp,0.01,39.77735005736385,37.656661070210205,-129.05139415943682,3.845464970535987,0.8334782239101436,True
15,iterative,0.01,12.566311806970425,-165.5737883625806,174.3342667760758,6.671571844618269,-1.0885359676995539,False
15,sqpnp,0.01,39.80412903356698,37.62739193037319,-129.12043458188015,3.845368766413406,0.8336170978219343,True
16,iterative,0.01,32.30160753955409,-162.56303363518902,-173.39040518313476,3.909357465865391,-0.9030924328318444,False
16,sqpnp,0.01,39.69258887724942,37.604438512953166,-129.05215482499656,3.861986707240583,0.8335573679511863,True
17,iterative,0.01,-10.894463524340976,6.078516244846203,29.748473355281856,24.6504597678055,-1444.1700560412974,False
17,sqpnp,0.01,39.85565745145295,37.70565643689768,-129.06219150887787,3.8447959817046184,0.8332399537182568,True
18,iterative,0.01,36.791060966656744,-164.22301655608678,-174.08025416639023,3.1209303310439735,-0.9576118113846415,False
18,sqpnp,0.01,39.823208196752084,37.66911858802129,-129.093177649867,3.8383910193457713,0.8334949409408696,True
19,iterative,0.01,36.811597625801056,-164.23688138231017,-174.1343651799175,3.121469852796607,-0.9578280801523149,False
19,sqpnp,0.01,39.86436177479998,37.69876382650792,-129.0942842518466,3.8430340315523974,0.833593810256851,True
20,iterative,0.01,36.85490954708314,-164.1770016027223,-174.04767244360994,3.118281484544371,-0.957795126987732,False
20,sqpnp,0.01,39.76341422980596,37.692240836110294,-129.03486560383274,3.84670729196411,0.8336938105789669,True
21,iterative,0.01,-9.285701340488309,-8.828045505131358,14.910381131917644,24.25947541973205,-17.894869179860247,False
21,sqpnp,0.01,39.85488825972528,37.68165059350786,-129.10237252903195,3.837581045962455,0.8335054803808319,True
22,iterative,0.01,36.81280352318902,-164.23286183769525,-174.0937674232082,3.117391047609463,-0.9576224248734586,False
22,sqpnp,0.01,39.70473089191961,37.592484322115865,-129.05498634121352,3.8570632034415566,0.8335606104797981,True
23,iterative,0.01,36.80596430594066,-164.2063699874056,-174.06959463503966,3.1203612779999674,-0.9574533574775591,False
23,sqpnp,0.01,39.86440501565454,37.72649366389969,-129.024199083285,3.8451778346152623,0.8330154741645376,True
24,iterative,0.01,36.760464587051935,-164.1975451496423,-174.08250986227608,3.120945571200935,-0.9578020633536665,False
24,sqpnp,0.01,39.80467822611958,37.70284605628324,-129.02329254065268,3.8520539165719496,0.8331816944681509,True
25,iterative,0.01,36.809064641739326,-164.22207646892676,-174.0884075423694,3.1097615341494436,-0.9576539034963726,False
25,sqpnp,0.01,39.70150471443796,37.603594264890724,-129.02974918294285,3.855165680249675,0.8335378099764009,True
26,iterative,0.01,36.79613311790573,-164.2233543891316,-174.08487984245878,3.119109231539999,-0.9575840437587408,False
26,sqpnp,0.01,39.824146219168355,37.674140572082024,-129.07560248655886,3.8412872216213256,0.8334103316779307,True
27,iterative,0.01,36.75582496785948,-164.20235763642526,-174.0805703301085,3.116807508212981,-0.9577543829193756,False
27,sqpnp,0.01,39.72915572618408,37.627759227316474,-129.08976247123476,3.8442542436657425,0.8336759934655713,True
28,iterative,0.01,36.792943078007205,-164.20251150289462,-174.02910320714042,3.1191973167566776,-0.9577202966430544,False
28,sqpnp,0.01,39.97376228527732,37.78228037782026,-129.05510923973566,3.822531736322403,0.833278737873684,True
29,iterative,0.01,36.80708459563472,-164.22464153341147,-174.08663513231477,3.1267861850070884,-0.957651137637117,False
29,sqpnp,0.01,39.84753616883808,37.69701120505465,-129.04831299742716,3.8485300207342887,0.8332710230914371,True
30,iterative,0.01,36.81635802254245,-164.24185873216638,-174.10706203288677,3.1219312958004366,-0.9578485472436326,False
30,sqpnp,0.01,39.87612638851617,37.6982608442599,-129.06455559782566,3.8431234922643185,0.8335251575792151,True
31,iterative,0.01,36.81865489673547,-164.2313111555604,-174.10272329378026,3.1209880721279584,-0.9572970518171885,False
31,sqpnp,0.01,39.718321565879116,37.611651721924986,-129.03413945910992,3.8638328733456415,0.8331192406009903,True
32,iterative,0.01,36.84595454608048,-164.22069110945853,-174.06696630569255,3.1164534507603587,-0.9574783818299152,False
32,sqpnp,0.01,39.83402926743761,37.69035059139036,-129.031896636436,3.845842163282104,0.8332473352879886,True
33,iterative,0.01,15.860204230530815,-162.49712456681996,-166.9891389167008,5.367074396150077,-1.127671089574717,False
33,sqpnp,0.01,39.85218911562891,37.699859048196174,-129.06558517254305,3.8412285845229635,0.8334438139401521,True
34,iterative,0.01,36.82832396589331,-164.23394916543495,-174.12063572863514,3.1203419667396854,-0.9577892886971054,False
34,sqpnp,0.01,39.75352868515642,37.638464183633864,-129.04812885690893,3.854992458677433,0.8336102187482926,True
35,iterative,0.01,1.4341038381301392,-159.66920482434935,-168.729884800583,22.041991704002495,-8.670960918219631,False
35,sqpnp,0.01,39.74735220003661,37.654805625091086,-129.03168922170235,3.85332920295669,0.8334751840303629,True
36,iterative,0.01,36.81389132539352,-164.21651958240395,-174.0749834393567,3.1143874537268994,-0.9575857534673035,False
36,sqpnp,0.01,39.849185747366874,37.703947627717156,-129.0314889154984,3.84194099356415,0.8332580598615095,True
37,iterative,0.01,36.85703798921461,-164.25257840431576,-174.13701249442448,3.1173297700550697,-0.957690471744474,False
37,sqpnp,0.01,39.770782648099036,37.640244309796,-129.02793448943598,3.859013241505581,0.8334814212252168,True
38,iterative,0.01,9.961977729707062,-161.35433879131895,-171.46441932907805,5.494108217075957,-1.1331118512952834,False
38,sqpnp,0.01,39.954613550503765,37.75343098503839,-129.08981866249047,3.8291478603761746,0.8332783552659515,True
39,iterative,0.01,36.80357370820412,-164.21127392095374,-174.0801623923741,3.116133127049964,-0.9576467514936047,False
39,sqpnp,0.01,39.96520904453647,37.77662298711401,-129.08435036517182,3.823306860227983,0.8333412833044441,True
40,iterative,0.01,11.524379618332249,-163.6077814762642,-174.56370057092101,13.681519584073353,-2.1631491138706855,False
40,sqpnp,0.01,39.782923602014485,37.65318288108436,-129.06134762888527,3.8465296089281025,0.8334663800293058,True
41,iterative,0.01,36.96252755528064,-164.24025275097594,-174.04044501102368,3.116599447290494,-0.9572437757050667,False
41,sqpnp,0.01,39.75190846153354,37.60347650390345,-129.0663882273794,3.8518003100052005,0.8336035369758108,True
