video,frame_index,method,head_point_max_delta_px,rotation_delta_degrees
1,17795,iterative,0.005612994866973159,0.008908647516862319
1,17795,sqpnp,0.005612994866973159,0.008947962153129405
1,17796,iterative,0.004771788326658544,172.8373390031985
1,17796,sqpnp,0.004771788326658544,0.004564799147881055
1,25596,iterative,0.0073653022562690795,0.01890062501856611
1,25596,sqpnp,0.0073653022562690795,0.022080724921104376
1,25597,iterative,0.0018096306261200588,0.0026916259223586487
1,25597,sqpnp,0.0018096306261200588,0.005629769959987225
1,25598,iterative,0.004309581533123928,0.0019516234724205096
1,25598,sqpnp,0.004309581533123928,0.006413450003912461
1,25599,iterative,0.001433026963119372,0.0023650211162626476
1,25599,sqpnp,0.001433026963119372,0.0030361208845015824
2,3050,iterative,0.0039953850577881785,0.015047000523252495
2,3050,sqpnp,0.0039953850577881785,0.01059302263529094
2,3051,iterative,0.0034936962751376172,0.005878580434416892
2,3051,sqpnp,0.0034936962751376172,0.009700734580240247
2,3052,iterative,0.003128647166085101,0.0039481486305430425
2,3052,sqpnp,0.003128647166085101,0.005119294277295942
2,9264,iterative,3.411968959808029e-05,0.031148199993419688
2,9264,sqpnp,3.411968959808029e-05,0.00016958102555645835
2,9265,iterative,0.0032620992838288134,28.324013994431695
2,9265,sqpnp,0.0032620992838288134,0.017292659320192357
2,9266,iterative,0.0017880800873157046,0.07655176835974271
2,9266,sqpnp,0.0017880800873157046,0.002333010811753567
2,18551,iterative,0.007715155196844655,0.018201904579530467
2,18551,sqpnp,0.007715155196844655,0.018368939303957624
2,18552,iterative,0.001796135128120381,0.0016389812433531964
2,18552,sqpnp,0.001796135128120381,0.007423323594254855
2,18553,iterative,0.004411452880759925,0.006927728022560672
2,18553,sqpnp,0.004411452880759925,0.017718989227093793
3,3945,iterative,0.0023648661823802947,0.020056496650931618
3,3945,sqpnp,0.0023648661823802947,0.0012711539899481707
3,3946,iterative,0.0018288280936943186,0.0017760617940226638
3,3946,sqpnp,0.0018288280936943186,0.0018888004873174433
3,3947,iterative,0.0004970244590729471,0.00035014713468497897
3,3947,sqpnp,0.0004970244590729471,0.0017270657019956902
3,4405,iterative,0.006341803126307098,0.008418264529266157
3,4405,sqpnp,0.006341803126307098,0.0069103892569071694
3,4406,iterative,4.315837287515549e-05,0.0008046625250653281
3,4406,sqpnp,4.315837287515549e-05,0.00044698943974121134
3,4407,iterative,0.001928668082038777,0.004452850212106007
3,4407,sqpnp,0.001928668082038777,0.01577387147766819
3,4408,iterative,0.005558913190218501,0.01166031712776577
3,4408,sqpnp,0.005558913190218501,0.0183154179954803
3,28544,iterative,0.009191010978555209,0.010382763827230546
3,28544,sqpnp,0.009191010978555209,0.055007894174463175
3,28545,iterative,0.00606256096111205,49.50242642148792
3,28545,sqpnp,0.00606256096111205,0.010706357487875146
4,243,iterative,0.005291132247628054,0.005904265094556586
4,243,sqpnp,0.005291132247628054,0.010968767679960684
4,244,iterative,0.0037897438242959045,0.0062270721756070005
4,244,sqpnp,0.0037897438242959045,0.19599132392615418
4,245,iterative,0.004876036711007353,0.0027836006299252138
4,245,sqpnp,0.004876036711007353,0.002723230395338676
4,246,iterative,0.015028915759875144,0.028614787857533554
4,246,sqpnp,0.015028915759875144,0.43492015927936156
4,23861,iterative,3.411968959808029e-05,4.831182115990019e-05
4,23861,sqpnp,3.411968959808029e-05,0.00017364169233284607
4,23862,iterative,6.103515625e-05,0.00012041538274350386
4,23862,sqpnp,6.103515625e-05,0.0002483762393716441
4,23863,iterative,0.007395225287793049,0.015074229185798189
4,23863,sqpnp,0.007395225287793049,0.012762250242459472
