backend,state,frames,faces,valid,mean_ms,valid_fraction
mediapipe_static,absent,180,0,0,4.9435188887097565,0.0
mediapipe_static,alert,240,136,136,10.93057916671872,0.5666666666666667
mediapipe_static,distraction,240,32,32,9.87363333324538,0.13333333333333333
mediapipe_static,fatigue,135,69,69,10.399608888837975,0.5111111111111111
mediapipe_tracking,absent,180,0,0,5.139632777839627,0.0
mediapipe_tracking,alert,240,230,230,7.317135833272914,0.9583333333333334
mediapipe_tracking,distraction,240,79,79,8.876959999815881,0.32916666666666666
mediapipe_tracking,fatigue,135,75,75,8.338688888815577,0.5555555555555556
torch_cpu,absent,180,0,0,11.467202778011496,0.0
torch_cpu,alert,240,111,111,45.579731250078716,0.4625
torch_cpu,distraction,240,21,21,39.02568791666757,0.0875
torch_cpu,fatigue,135,29,29,40.68788296302686,0.21481481481481482
torch_cuda,absent,180,0,0,7.612058888803909,0.0
torch_cuda,alert,240,111,111,26.687734166747152,0.4625
torch_cuda,distraction,240,21,21,22.569887083803525,0.0875
torch_cuda,fatigue,135,29,29,25.46369555585207,0.21481481481481482
