arquivo,estado_predito,estado_real
001627.jpg,CELULAR,CELULAR
001628.jpg,CELULAR,CELULAR
001629.jpg,CELULAR,CELULAR
001630.jpg,CELULAR,CELULAR
001631.jpg,CELULAR,CELULAR
001632.jpg,CELULAR,CELULAR
001633.jpg,CELULAR,CELULAR
001634.jpg,CELULAR,CELULAR
001635.jpg,CELULAR,CELULAR
001636.jpg,CELULAR,CELULAR
001637.jpg,CELULAR,CELULAR
010186.jpg,CELULAR,NORMAL
010187.jpg,CELULAR,NORMAL
010188.jpg,CELULAR,NORMAL
010189.jpg,CELULAR,NORMAL
010190.jpg,CELULAR,NORMAL
010191.jpg,CELULAR,NORMAL
010192.jpg,CELULAR,NORMAL
010193.jpg,CELULAR,NORMAL
010194.jpg,CELULAR,NORMAL
010195.jpg,CELULAR,NORMAL
010196.jpg,CELULAR,NORMAL
010197.jpg,CELULAR,NORMAL
010198.jpg,CELULAR,NORMAL
010199.jpg,CELULAR,NORMAL
010200.jpg,CELULAR,NORMAL
010201.jpg,CELULAR,NORMAL
010202.jpg,CELULAR,NORMAL
010203.jpg,CELULAR,NORMAL
010204.jpg,CELULAR,NORMAL
010205.jpg,CELULAR,NORMAL
010206.jpg,CELULAR,NORMAL
010207.jpg,CELULAR,NORMAL
010208.jpg,CELULAR,NORMAL
010209.jpg,CELULAR,NORMAL
010210.jpg,CELULAR,NORMAL
010211.jpg,CELULAR,NORMAL
010212.jpg,CELULAR,NORMAL
010213.jpg,CELULAR,NORMAL
010214.jpg,CELULAR,NORMAL
010215.jpg,CELULAR,NORMAL
010216.jpg,CELULAR,NORMAL
010217.jpg,CELULAR,NORMAL
010218.jpg,CELULAR,NORMAL
010219.jpg,CELULAR,NORMAL
010220.jpg,CELULAR,NORMAL
010221.jpg,CELULAR,NORMAL
010222.jpg,CELULAR,NORMAL
010223.jpg,CELULAR,NORMAL
010224.jpg,CELULAR,NORMAL
010225.jpg,CELULAR,NORMAL
010226.jpg,CELULAR,NORMAL
010227.jpg,CELULAR,NORMAL
010228.jpg,CELULAR,NORMAL
010229.jpg,CELULAR,NORMAL
010230.jpg,CELULAR,NORMAL
010231.jpg,CELULAR,NORMAL
010232.jpg,CELULAR,NORMAL
010233.jpg,CELULAR,NORMAL
010234.jpg,CELULAR,NORMAL
010235.jpg,CELULAR,NORMAL
012587.jpg,CELULAR,NORMAL
012588.jpg,CELULAR,NORMAL
012589.jpg,CELULAR,NORMAL
012590.jpg,CELULAR,NORMAL
012591.jpg,CELULAR,NORMAL
012592.jpg,CELULAR,NORMAL
012593.jpg,CELULAR,NORMAL
012594.jpg,CELULAR,NORMAL
012595.jpg,CELULAR,NORMAL
012596.jpg,CELULAR,NORMAL
012597.jpg,CELULAR,NORMAL
012598.jpg,CELULAR,NORMAL
012599.jpg,CELULAR,NORMAL
012600.jpg,CELULAR,NORMAL
012601.jpg,CELULAR,NORMAL
012602.jpg,CELULAR,NORMAL
012603.jpg,CELULAR,NORMAL
012604.jpg,CELULAR,NORMAL
012605.jpg,CELULAR,NORMAL
012606.jpg,CELULAR,NORMAL
012607.jpg,CELULAR,NORMAL
012608.jpg,CELULAR,NORMAL
012609.jpg,CELULAR,NORMAL
012610.jpg,CELULAR,NORMAL
012611.jpg,CELULAR,NORMAL
012612.jpg,CELULAR,NORMAL
012613.jpg,CELULAR,NORMAL
012614.jpg,CELULAR,NORMAL
012615.jpg,CELULAR,NORMAL
012616.jpg,CELULAR,NORMAL
012617.jpg,CELULAR,NORMAL
012618.jpg,CELULAR,NORMAL
012619.jpg,CELULAR,NORMAL
012620.jpg,CELULAR,NORMAL
012621.jpg,CELULAR,NORMAL
012622.jpg,CELULAR,NORMAL
012623.jpg,CELULAR,NORMAL
012624.jpg,CELULAR,NORMAL
012625.jpg,CELULAR,NORMAL
012626.jpg,CELULAR,NORMAL
012627.jpg,CELULAR,NORMAL
012628.jpg,CELULAR,NORMAL
012629.jpg,CELULAR,NORMAL
012630.jpg,CELULAR,NORMAL
012631.jpg,CELULAR,NORMAL
012632.jpg,CELULAR,NORMAL
012633.jpg,CELULAR,NORMAL
012634.jpg,CELULAR,NORMAL
012635.jpg,CELULAR,NORMAL
012636.jpg,CELULAR,NORMAL
014753.jpg,CELULAR,CELULAR
014754.jpg,CELULAR,CELULAR
014755.jpg,CELULAR,CELULAR
014756.jpg,CELULAR,CELULAR
014757.jpg,CELULAR,CELULAR
017231.jpg,CELULAR,CELULAR
017232.jpg,CELULAR,CELULAR
017233.jpg,CELULAR,CELULAR
017234.jpg,CELULAR,CELULAR
017235.jpg,CELULAR,CELULAR
017236.jpg,CELULAR,CELULAR
017237.jpg,CELULAR,CELULAR
017238.jpg,CELULAR,CELULAR
017239.jpg,CELULAR,CELULAR
017240.jpg,CELULAR,CELULAR
017241.jpg,CELULAR,CELULAR
017242.jpg,CELULAR,CELULAR
017243.jpg,CELULAR,CELULAR
017244.jpg,CELULAR,CELULAR
017245.jpg,CELULAR,CELULAR
017246.jpg,CELULAR,CELULAR
017247.jpg,CELULAR,CELULAR
017248.jpg,CELULAR,CELULAR
017249.jpg,CELULAR,CELULAR
029805.jpg,CELULAR,CELULAR
029806.jpg,CELULAR,CELULAR
029807.jpg,CELULAR,CELULAR
029808.jpg,CELULAR,CELULAR
029809.jpg,CELULAR,CELULAR
029810.jpg,CELULAR,CELULAR
029811.jpg,CELULAR,CELULAR
029812.jpg,CELULAR,CELULAR
029813.jpg,CELULAR,CELULAR
030340.jpg,CELULAR,CELULAR
030341.jpg,CELULAR,CELULAR
030342.jpg,CELULAR,CELULAR
030343.jpg,CELULAR,CELULAR
030344.jpg,CELULAR,CELULAR
000680.jpg,POSTURA_RUIM,POSTURA_RUIM
000681.jpg,POSTURA_RUIM,POSTURA_RUIM
000682.jpg,POSTURA_RUIM,POSTURA_RUIM
000683.jpg,POSTURA_RUIM,POSTURA_RUIM
000684.jpg,POSTURA_RUIM,POSTURA_RUIM
001290.jpg,POSTURA_RUIM,POSTURA_RUIM
001291.jpg,POSTURA_RUIM,POSTURA_RUIM
001292.jpg,POSTURA_RUIM,POSTURA_RUIM
001293.jpg,POSTURA_RUIM,POSTURA_RUIM
001294.jpg,POSTURA_RUIM,POSTURA_RUIM
001295.jpg,POSTURA_RUIM,POSTURA_RUIM
001296.jpg,POSTURA_RUIM,POSTURA_RUIM
001297.jpg,POSTURA_RUIM,POSTURA_RUIM
001298.jpg,POSTURA_RUIM,POSTURA_RUIM
001299.jpg,POSTURA_RUIM,POSTURA_RUIM
001431.jpg,POSTURA_RUIM,POSTURA_RUIM
001432.jpg,POSTURA_RUIM,POSTURA_RUIM
001433.jpg,POSTURA_RUIM,POSTURA_RUIM
001434.jpg,POSTURA_RUIM,POSTURA_RUIM
001435.jpg,POSTURA_RUIM,POSTURA_RUIM
001446.jpg,POSTURA_RUIM,POSTURA_RUIM
001447.jpg,POSTURA_RUIM,POSTURA_RUIM
001448.jpg,POSTURA_RUIM,POSTURA_RUIM
001449.jpg,POSTURA_RUIM,POSTURA_RUIM
001450.jpg,POSTURA_RUIM,POSTURA_RUIM
001473.jpg,POSTURA_RUIM,POSTURA_RUIM
001474.jpg,POSTURA_RUIM,POSTURA_RUIM
001475.jpg,POSTURA_RUIM,POSTURA_RUIM
001476.jpg,POSTURA_RUIM,POSTURA_RUIM
001477.jpg,POSTURA_RUIM,POSTURA_RUIM
001478.jpg,POSTURA_RUIM,POSTURA_RUIM
001484.jpg,POSTURA_RUIM,POSTURA_RUIM
001485.jpg,POSTURA_RUIM,POSTURA_RUIM
001486.jpg,POSTURA_RUIM,POSTURA_RUIM
001487.jpg,POSTURA_RUIM,POSTURA_RUIM
001488.jpg,POSTURA_RUIM,POSTURA_RUIM
001999.jpg,POSTURA_RUIM,CELULAR
002000.jpg,POSTURA_RUIM,CELULAR
002001.jpg,POSTURA_RUIM,CELULAR
002002.jpg,POSTURA_RUIM,CELULAR
002003.jpg,POSTURA_RUIM,CELULAR
003379.jpg,POSTURA_RUIM,POSTURA_RUIM
003380.jpg,POSTURA_RUIM,POSTURA_RUIM
003381.jpg,POSTURA_RUIM,POSTURA_RUIM
003382.jpg,POSTURA_RUIM,POSTURA_RUIM
003383.jpg,POSTURA_RUIM,POSTURA_RUIM
003384.jpg,POSTURA_RUIM,POSTURA_RUIM
003385.jpg,POSTURA_RUIM,POSTURA_RUIM
003386.jpg,POSTURA_RUIM,POSTURA_RUIM
003387.jpg,POSTURA_RUIM,POSTURA_RUIM
003388.jpg,POSTURA_RUIM,POSTURA_RUIM
004400.jpg,POSTURA_RUIM,POSTURA_RUIM
004401.jpg,POSTURA_RUIM,POSTURA_RUIM
004402.jpg,POSTURA_RUIM,POSTURA_RUIM
004403.jpg,POSTURA_RUIM,POSTURA_RUIM
004404.jpg,POSTURA_RUIM,POSTURA_RUIM
004405.jpg,POSTURA_RUIM,POSTURA_RUIM
004406.jpg,POSTURA_RUIM,POSTURA_RUIM
004407.jpg,POSTURA_RUIM,POSTURA_RUIM
004408.jpg,POSTURA_RUIM,POSTURA_RUIM
004409.jpg,POSTURA_RUIM,POSTURA_RUIM
004410.jpg,POSTURA_RUIM,POSTURA_RUIM
